sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	pair_m_f_	pair_m_f_inv
100m	100	Pubertal growth  (atlas)	Pubertal growth	5043	NA	NA	male	atlas	Pubertal growth	Pubertal growth  (atlas) [male]	23449627	Pubertal growth  (atlas) 23449627	100m 99f	100m 99f	Developmental	100m:99f	99f:100m
105f	105	Tanner scale  (atlas)	Tanner scale	6147	NA	NA	female	atlas	Tanner scale	Tanner scale  (atlas) [female]	24770850	Tanner scale  (atlas) 24770850	105f 106m	106m 105f	Developmental	106m:105f	105f:106m
106m	106	Tanner scale  (atlas)	Tanner scale	3769	NA	NA	male	atlas	Tanner scale	Tanner scale  (atlas) [male]	24770850	Tanner scale  (atlas) 24770850	105f 106m	106m 105f	Developmental	106m:105f	105f:106m
1217m	1217	Alcohol consumption (dichotomous) (atlas)	Alcohol intake	26991	NA	NA	male	atlas	Alcohol intake	Alcohol consumption (dichotomous) (atlas) [male]	27911795	Alcohol consumption (dichotomous) (atlas) 27911795	1217m 1218f	1217m 1218f	Lifestyle	1217m:1218f	1218f:1217m
1218f	1218	Alcohol consumption (dichotomous) (atlas)	Alcohol intake	47720	NA	NA	female	atlas	Alcohol intake	Alcohol consumption (dichotomous) (atlas) [female]	27911795	Alcohol consumption (dichotomous) (atlas) 27911795	1217m 1218f	1217m 1218f	Lifestyle	1217m:1218f	1218f:1217m
126m	126	Height  (atlas)	Height	60588	NA	NA	male	atlas	Height	Height  (atlas) [male]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	126m:127f	127f:126m
127f	127	Height  (atlas)	Height	73072	NA	NA	female	atlas	Height	Height  (atlas) [female]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	126m:127f	127f:126m
136m	136	Weight  (atlas)	Weight	60016	NA	NA	male	atlas	Weight	Weight  (atlas) [male]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	136m:137f	137f:136m
137f	137	Weight  (atlas)	Weight	72378	NA	NA	female	atlas	Weight	Weight  (atlas) [female]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	136m:137f	137f:136m
144m	144	Body Mass Index  (atlas)	Body Mass Index	104666	NA	NA	male	atlas	Body Mass Index	Body Mass Index  (atlas) [male]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	144m:145f	145f:144m
145f	145	Body Mass Index  (atlas)	Body Mass Index	132115	NA	NA	female	atlas	Body Mass Index	Body Mass Index  (atlas) [female]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	144m:145f	145f:144m
151m	151	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	74324	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	151m:153f	153f:151m
152m	152	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	21989	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	152m:154f	154f:152m
153f	153	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	88625	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	151m:153f	153f:151m
154f	154	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	41386	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	152m:154f	154f:152m
157m	157	Hip circumference  (atlas)	Hip circumference	94790	NA	NA	male	atlas	Hip circumference	Hip circumference  (atlas) [male]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	157m:159f	159f:157m
159f	159	Hip circumference  (atlas)	Hip circumference	118528	NA	NA	female	atlas	Hip circumference	Hip circumference  (atlas) [female]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	157m:159f	159f:157m
163m	163	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	93965	NA	NA	male	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [male]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	163m:165f	165f:163m
165f	165	Hip circumference (adjusted for BMI) (atlas)	Hip circumference	117340	NA	NA	female	atlas	Hip circumference	Hip circumference (adjusted for BMI) (atlas) [female]	25673412	Hip circumference (adjusted for BMI) (atlas) 25673412	163m 165f	163m 165f	Antropometric	163m:165f	165f:163m
169m	169	Waist circumference  (atlas)	Waist circumference	104406	NA	NA	male	atlas	Waist circumference	Waist circumference  (atlas) [male]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	169m:171f	171f:169m
171f	171	Waist circumference  (atlas)	Waist circumference	127998	NA	NA	female	atlas	Waist circumference	Waist circumference  (atlas) [female]	25673412	Waist circumference  (atlas) 25673412	169m 171f	169m 171f	Antropometric	169m:171f	171f:169m
175m	175	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	104079	NA	NA	male	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [male]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	175m:177f	177f:175m
177f	177	Waist circumference (adjusted for BMI) (atlas)	Waist circumference	127470	NA	NA	female	atlas	Waist circumference	Waist circumference (adjusted for BMI) (atlas) [female]	25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	175m 177f	175m 177f	Antropometric	175m:177f	177f:175m
181m	181	Waist-hip ratio  (atlas)	Waist-hip ratio	94434	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [male]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	181m:183f	183f:181m
183f	183	Waist-hip ratio  (atlas)	Waist-hip ratio	118004	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio  (atlas) [female]	25673412	Waist-hip ratio  (atlas) 25673412	181m 183f	181m 183f	Antropometric	181m:183f	183f:181m
187m	187	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	93480	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [male]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	187m:189f	189f:187m
189f	189	Waist-hip ratio (adjusted for BMI) (atlas)	Waist-hip ratio	116742	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (adjusted for BMI) (atlas) [female]	25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	187m 189f	187m 189f	Antropometric	187m:189f	189f:187m
3958m	3958	Antisocial behavior  (atlas)	Antisocial behavior	8535	NA	NA	male	atlas	Antisocial behavior	Antisocial behavior  (atlas) [male]	28979981	Antisocial behavior  (atlas) 28979981	3958m 3959f	3958m 3959f	Behavioural	3958m:3959f	3959f:3958m
3959f	3959	Antisocial behavior  (atlas)	Antisocial behavior	7772	NA	NA	female	atlas	Antisocial behavior	Antisocial behavior  (atlas) [female]	28979981	Antisocial behavior  (atlas) 28979981	3958m 3959f	3958m 3959f	Behavioural	3958m:3959f	3959f:3958m
4212m	4212	Glycine level  (atlas)	Glycine	19112	NA	NA	male	atlas	Glycine	Glycine level  (atlas) [male]	31070104	Glycine level  (atlas) 31070104	4212m 4213f	4212m 4213f	Metabolic	4212m:4213f	4213f:4212m
4213f	4213	Glycine level  (atlas)	Glycine	11006	NA	NA	female	atlas	Glycine	Glycine level  (atlas) [female]	31070104	Glycine level  (atlas) 31070104	4212m 4213f	4212m 4213f	Metabolic	4212m:4213f	4213f:4212m
4370m	4370	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	24618	NA	NA	male	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [male]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	4370m:4371f	4371f:4370m
4371f	4371	Thyroid-stimulating hormone  (atlas)	Thyroid stimulating hormone	30236	NA	NA	female	atlas	Thyroid stimulating hormone	Thyroid-stimulating hormone  (atlas) [female]	30367059	Thyroid-stimulating hormone  (atlas) 30367059	4370m 4371f	4370m 4371f	Metabolic	4370m:4371f	4371f:4370m
