sid	PMID	Year	File	Website	Consortium	Domain	ChapterLevel	SubchapterLevel	Trait	uniqTrait	Population	Ncase	Ncontrol	N	Genome	Nsnps	sex	Info	Notes
a1f	35835914	2022	https://ctg.cncr.nl/documents/p1651/insomnia_female_ukb2b_EUR_sumstats_20190311_with_chrX_mac_100.txt.gz	https://sleep.hugeamp.org/datasets.html					Insomnia		EUR	66976	141982	208958			female	https://ctg.cncr.nl/documents/p1651/insomnia_20190311_README	
a2f	28604731	2017	https://ctg.cncr.nl/documents/p1651/Hammerschlag_NatGenet2017_insomnia_sumstats-females_090617.txt.gz						Insomnia		EUR	19521	39846	59367			female		already in GWAS Atlas
a3f	36284158	2022	https://ctg.cncr.nl/documents/p1651/broadABC2022_Final_Females.txt.gz		ALSPAC, ADH, COGA, iPSYCH, TRAILS, etc				Broad antisocial behaviour					26895			female		
a4f	28979981	2017	http://broadabc.ctglab.nl/documents/p12/BroadABC_METALoutput_Females.tbl						Broad antisocial behaviour					7772			female		already in GWAS Atlas > 3958, 3959
a5f	29077507	2018	https://personal.broadinstitute.org/ryank/chen_and_cade_et_al_2018_ahi_3_percent_combined_females.zip		ARIC, CFS, FHS, MESA, MrOS				Sleep apnea		Mix						female		
a6f	34122051	2021	https://www.niagads.org/system/tdf/public_docs/ADGC.phase12.sex2_.grm_.assoc_.logistic_p-value.gz?file=1&type=field_collection_item&id=184&force=		ADGC				Alzheimer			5705	7067	12772	GRCh38	38043163	female		
a7f	33901317		https://drive.google.com/u/0/uc?id=1C9Tn-glwSOsJRGv8WCXMoMbQ6DQ8EiJE&export=download		IPDGC, UKBB				Parkinson		EUR	7947	90662	98609			female		
a8f	30297969	2018	SHA1:aa0db522c78dc3da76596adbd867908e0b9e5b3b, MD5:530cb9af0b0ed5246d45c7ef74161dd9	http://diagram-consortium.org/downloads.html 					T2D		EUR	30053	434336				female		
a9f	29325848	2018	https://figshare.com/ndownloader/files/35310529		PGC, iPSYCH				AHDH		EUR	4945	16246	21191			female		
a10f			http://134.160.84.25:8080/download/Gastric_cancer_stratified_meta						Gastric Cancer								female		not stratified
