sid	phenotype	description	variable_type	N	Ncontrol	Ncase	sex
K57_f	K57	Diagnoses - main ICD10: K57 Diverticular disease of intestine	categorical	194174	187183	6991	female
M17_f	M17	Diagnoses - main ICD10: M17 Gonarthrosis [arthrosis of knee]	categorical	194174	188346	5828	female
R07_f	R07	Diagnoses - main ICD10: R07 Pain in throat and chest	categorical	194174	182027	12147	female
R10_f	R10	Diagnoses - main ICD10: R10 Abdominal and pelvic pain	categorical	194174	181146	13028	female
I84_f	I84	Diagnoses - main ICD10: I84 Haemorrhoids	categorical	194174	188131	6043	female
H26_f	H26	Diagnoses - main ICD10: H26 Other cataract	categorical	194174	187980	6194	female
K29_f	K29	Diagnoses - main ICD10: K29 Gastritis and duodenitis	categorical	194174	187011	7163	female
M23_f	M23	Diagnoses - main ICD10: M23 Internal derangement of knee	categorical	194174	189167	5007	female
K62_f	K62	Diagnoses - main ICD10: K62 Other diseases of anus and rectum	categorical	194174	186988	7186	female
K11_HERNIA_f	K11_HERNIA	Hernia	categorical	194174	186124	8050	female
XIX_INJURY_POISON_f	XIX_INJURY_POISON	Injury, poisoning and certain other consequences of external causes	categorical	194174	171642	22532	female
XVIII_MISCFINDINGS_f	XVIII_MISCFINDINGS	Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified	categorical	194174	142793	51381	female
H7_LENS_f	H7_LENS	Disorders of lens	categorical	194174	184759	9415	female
C_OTHER_SKIN_f	C_OTHER_SKIN	Other malignant neoplasms of skin	categorical	194174	187339	6835	female
PULMONARYDG_f	PULMONARYDG	Other pulmonary diagnosis	categorical	194174	182385	11789	female
ILD_DIFF_DG_f	ILD_DIFF_DG	ILD differential diagnosis	categorical	194174	181734	12440	female
XXI_HEALTHFACTORS_f	XXI_HEALTHFACTORS	Factors influencing health status and contact with health services	categorical	194174	170277	23897	female
XII_SKIN_SUBCUTAN_f	XII_SKIN_SUBCUTAN	Diseases of the skin and subcutaneous tissue	categorical	194174	180062	14112	female
