sid	uniqValue	sex	H2	H2_SE	H2_P	H2L	H2L_SE	H2L_P	SPREV	PPREV
100m	Pubertal growth  (atlas) 23449627	male	0.3882	0.0936	1.6810978169447e-05	0.3882	0.0936	1.6810978169447e-05	NA	0
126m	Height  (atlas) 23754948	male	0.2523	0.0149	1.28721301835354e-64	0.2523	0.0149	1.28721301835354e-64	NA	0
127f	Height  (atlas) 23754948	female	0.2403	0.0152	1.34407141742679e-56	0.2403	0.0152	1.34407141742679e-56	NA	0
136m	Weight  (atlas) 23754948	male	0.1903	0.0121	4.91786160346527e-56	0.1903	0.0121	4.91786160346527e-56	NA	0
137f	Weight  (atlas) 23754948	female	0.1869	0.01	2.98565026337212e-78	0.1869	0.01	2.98565026337212e-78	NA	0
144m	Body Mass Index  (atlas) 25673413	male	0.1645	0.0087	4.8959201232491e-80	0.1645	0.0087	4.8959201232491e-80	NA	0
145f	Body Mass Index  (atlas) 25673413	female	0.1617	0.0071	4.08976386698923e-115	0.1617	0.0071	4.08976386698923e-115	NA	0
151m	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	male	0.1117	0.0132	1.31278704671901e-17	0.1117	0.0132	1.31278704671901e-17	NA	0
152m	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	male	0.1287	0.0211	5.31917058398181e-10	0.1287	0.0211	5.31917058398181e-10	NA	0
153f	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	female	0.116	0.0127	3.30502758432343e-20	0.116	0.0127	3.30502758432343e-20	NA	0
154f	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	female	0.1123	0.0149	2.40614030567881e-14	0.1123	0.0149	2.40614030567881e-14	NA	0
157m	Hip circumference  (atlas) 25673412	male	0.1773	0.0132	1.96813428839862e-41	0.1773	0.0132	1.96813428839862e-41	NA	0
159f	Hip circumference  (atlas) 25673412	female	0.1674	0.0088	5.52895310183658e-81	0.1674	0.0088	5.52895310183658e-81	NA	0
163m	Hip circumference (adjusted for BMI) (atlas) 25673412	male	0.1944	0.0147	3.16828729213983e-40	0.1944	0.0147	3.16828729213983e-40	NA	0
165f	Hip circumference (adjusted for BMI) (atlas) 25673412	female	0.148	0.01	7.32413111982728e-50	0.148	0.01	7.32413111982728e-50	NA	0
