sid	id	Trait	uniqTrait	N	Ncontrol	Ncase	sex	source	uniqTrait_	sTrait	PMID	uniqValue	pair	pair_m_f	TYPE	trait_name_clean	type	PPREV	SPREV	Intercept	Intercept_SE	Ratio	Ratio_SE	H2	H2_SE	H2_Z	H2_P	H2L	H2L_VAR	H2L_SE	H2L_P	H2_power_diff0.1	H2_power_diff0.05	H2_power_diff0.02	H2_power_diff0.01	neff	neff_power_univ_cat	neff_power_biv_cat	neff_power_part_cat
100m	100	Pubertal growth  (atlas)	Pubertal growth	5043	NA	NA	male	atlas	Pubertal growth	Pubertal growth  (atlas) [male]	23449627	Pubertal growth  (atlas) 23449627	100m 99f	100m 99f	Developmental	Pubertal growth	BIN	0	NA	0.9809	0.0069	NA		0.3882	0.0936	4.1474358974359	1.6810978169447e-05	0.3882	NA	0.0936	1.6810978169447e-05	0.187536430767168	0.0832794354003373	0.0552465141509792	0.0513085501799888	5043	SNPh2 0.2	none	none
126m	126	Height  (atlas)	Height	60588	NA	NA	male	atlas	Height	Height  (atlas) [male]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	Height	BIN	0	NA	0.8419	0.0086	NA		0.2523	0.0149	16.9328859060403	1.28721301835354e-64	0.2523	NA	0.0149	1.28721301835354e-64	0.999998990161563	0.918603758471354	0.268872024843419	0.102985194025493	60588	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
127f	127	Height  (atlas)	Height	73072	NA	NA	female	atlas	Height	Height  (atlas) [female]	23754948	Height  (atlas) 23754948	126m 127f	126m 127f	Antropometric	Height	BIN	0	NA	0.8354	0.0096	NA		0.2403	0.0152	15.8092105263158	1.34407141742679e-56	0.2403	NA	0.0152	1.34407141742679e-56	0.999998071876335	0.908160142356935	0.260258041315861	0.100870528834348	73072	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
136m	136	Weight  (atlas)	Weight	60016	NA	NA	male	atlas	Weight	Weight  (atlas) [male]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	Weight	BIN	0	NA	0.8638	0.0073	NA		0.1903	0.0121	15.7272727272727	4.91786160346527e-56	0.1903	NA	0.0121	4.91786160346527e-56	0.999999999855436	0.985082251596644	0.379545925657241	0.131163224078991	60016	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
137f	137	Weight  (atlas)	Weight	72378	NA	NA	female	atlas	Weight	Weight  (atlas) [female]	23754948	Weight  (atlas) 23754948	136m 137f	136m 137f	Antropometric	Weight	BIN	0	NA	0.8261	0.0072	NA		0.1869	0.01	18.69	2.98565026337212e-78	0.1869	NA	0.01	2.98565026337212e-78	1	0.998817250703504	0.516005273976175	0.170075045753087	72378	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
144m	144	Body Mass Index  (atlas)	Body Mass Index	104666	NA	NA	male	atlas	Body Mass Index	Body Mass Index  (atlas) [male]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	Body Mass Index	BIN	0	NA	0.8063	0.0072	NA		0.1645	0.0087	18.9080459770115	4.8959201232491e-80	0.1645	NA	0.0087	4.8959201232491e-80	1	0.999923811259567	0.632662692276084	0.209752689531227	104666	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
145f	145	Body Mass Index  (atlas)	Body Mass Index	132115	NA	NA	female	atlas	Body Mass Index	Body Mass Index  (atlas) [female]	25673413	Body Mass Index  (atlas) 25673413	144m 145f	144m 145f	Antropometric	Body Mass Index	BIN	0	NA	0.7444	0.0072	NA		0.1617	0.0071	22.7746478873239	4.08976386698923e-115	0.1617	NA	0.0071	4.08976386698923e-115	1	0.9999998135438	0.804261155880355	0.291018941661757	132115	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
151m	151	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	74324	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	Waist-hip ratio (> 50 yrs, adjBMI)	BIN	0	NA	0.9727	0.0067	NA		0.1117	0.0132	8.46212121212121	1.31278704671901e-17	0.1117	NA	0.0132	1.31278704671901e-17	0.999999990216894	0.966218835019012	0.328482957898253	0.117895037008802	74324	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
152m	152	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	21989	NA	NA	male	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [male]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	Waist-hip ratio (<= 50 yrs, adjBMI)	BIN	0	NA	0.9652	0.0076	NA		0.1287	0.0211	6.09952606635071	5.31917058398181e-10	0.1287	NA	0.0211	5.31917058398181e-10	0.997276798594614	0.65899601627108	0.157565636558186	0.0761041580479658	21989	SNPh2 0.1	SNPh2 0.2	none
153f	153	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	88625	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	151m 153f	151m 153f	Antropometric	Waist-hip ratio (> 50 yrs, adjBMI)	BIN	0	NA	0.9372	0.008	NA		0.116	0.0127	9.13385826771654	3.30502758432343e-20	0.116	NA	0.0127	3.30502758432343e-20	0.999999998331035	0.975981667174051	0.350263196488473	0.1234894721945	88625	SNPh2 0.05	SNPh2 0.1	SNPh2 0.1
154f	154	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas)	Waist-hip ratio	41386	NA	NA	female	atlas	Waist-hip ratio	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) [female]	26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	152m 154f	152m 154f	Antropometric	Waist-hip ratio (<= 50 yrs, adjBMI)	BIN	0	NA	0.9596	0.0072	NA		0.1123	0.0149	7.53691275167785	2.40614030567881e-14	0.1123	NA	0.0149	2.40614030567881e-14	0.999998990161563	0.918603758471354	0.268872024843419	0.102985194025493	41386	SNPh2 0.05	SNPh2 0.1	SNPh2 0.2
157m	157	Hip circumference  (atlas)	Hip circumference	94790	NA	NA	male	atlas	Hip circumference	Hip circumference  (atlas) [male]	25673412	Hip circumference  (atlas) 25673412	157m 159f	157m 159f	Antropometric	Hip circumference	BIN	0	NA	0.8851	0.0078	NA		0.1773	0.0132	13.4318181818182	1.96813428839862e-41	0.1773	NA	0.0132	1.96813428839862e-41	0.999999990216894	0.966218835019012	0.328482957898253	0.117895037008802	94790	SNPh2 0.05	SNPh2 0.05	SNPh2 0.1
