trait	trait_name	m_est	m_est_se	m_z	m_p	f_est	f_est_se	f_z	f_p	stat	stat_abs	stat_sign	p_diff	p_diff_adj
Age at first birth  (atlas) 27798627	Age at first birth	0.11	0.01	10.92	4.47071844168681e-28	0.04	0	14.57	2.28842246099925e-48	6.46	6.45784317534082	1	1.06205714160167e-10	5.31028570800835e-09
Fasting insulin (requested) 33402679	Fasting insulin	0.26	0.03	9.44	1.89246983020376e-21	0.1	0.02	5.53	1.5976277372353e-08	4.86	4.85978054816529	1	1.17515943579992e-06	2.93789858949981e-05
Waist circumference (adjusted for BMI) (atlas) 25673412	Waist circumference (adjBMI)	0.17	0.01	15.4	8.65240280777599e-54	0.11	0.01	13.06	2.80387274018091e-39	4.4	4.39651088278034	1	1.10004847854585e-05	0.000183341413090974
PTSD (requested) 31594949	PTSD	0.04	0.01	6.68	1.16783734303695e-11	0.07	0.01	10.87	8.21928094283134e-28	-3.73	3.7271352222559	-1	0.000193668564946394	0.00242085706182993
Multisite chronic pain (requested) 33830993	Multisite chronic pain	0.07	0	15.7	7.84444181262273e-56	0.09	0	22.71	1.76297234984325e-114	-3.28	3.27613646675478	-1	0.00105237697227871	0.0105237697227871
Schizophrenia (requested) 35396580	Schizophrenia	0.18	0.01	25.92	4.09412043646138e-148	0.15	0.01	17.99	2.17200109846335e-72	3.15	3.14853893757607	1	0.00164088861302176	0.0136740717751813
Major Depression (requested) 31206164	Major Depression	0.05	0.01	3.39	0.000703278425817394	0.1	0.01	7.37	1.7545633515332e-13	-2.79	2.78872578784104	-1	0.00529158475418823	0.0335480715776207
CC Central (requested) NA	CC Central	0.13	0.03	4.45	4.25713274369773e-06	0.25	0.03	8.26	7.05276711234495e-17	-2.78	2.78409738853846	-1	0.00536769145241932	0.0335480715776207
ADHD (requested) 29325848	ADHD	0.15	0.01	11.97	5.32223097593586e-33	0.09	0.02	4.79	1.6613408953432e-06	2.71	2.70797744152712	1	0.00676946235441515	0.0376081241911953
Snoring (requested) 32060260	Snoring	0.08	0.01	15.94	3.19409812994787e-57	0.1	0	21.27	2.03120978316698e-100	-2.66	2.6561625721238	-1	0.00790355022944163	0.0377436940325902
Free thyroxine (FT4) (atlas) 30367059	Free thyroxine (FT4)	0.2	0.03	7.58	1.78518985397044e-14	0.11	0.02	5.15	1.27354178898778e-07	2.64	2.63946855196842	1	0.00830361268716984	0.0377436940325902
Hip circumference (adjusted for BMI) (atlas) 25673412	Hip circumference (adjBMI)	0.19	0.01	13.22	3.16828729213983e-40	0.15	0.01	14.8	7.32413111982728e-50	2.61	2.60983230327294	1	0.00905866173436724	0.0377444238931968
Number of children ever born  (atlas) 27798627	Number of children ever born	0.03	0	7.12	5.3013003815893e-13	0.02	0	10.48	5.55652294481084e-26	2.42	2.41978997698632	1	0.0155294734619652	0.0597287440844817
Educational attainment (requested) 27225129	Educational attainment	0.2	0.01	22.54	8.54504708590599e-113	0.18	0.01	24.08	1.97304250541162e-128	1.94	1.93528192146474	1	0.0529557095808999	0.1891275342175
Waist-hip ratio  (atlas) 25673412	Waist-hip ratio	0.14	0.01	13.12	1.32435900534729e-39	0.11	0.01	12.53	2.62048780002844e-36	1.73	1.73370137374317	1	0.0829710826623334	0.276570275541111
Height SDS (atlas) 23449627	Height SDS	0.39	0.08	4.77	9.35372414232316e-07	0.57	0.07	7.9	1.44526793496081e-15	-1.57	1.57123851895682	-1	0.116127255993299	0.362897674979058
Type 2 diabetes (requested) 30297969	Type 2 diabetes	0.16	0.01	16.29	1.24665060827733e-59	0.18	0.01	18.4	1.31364769867739e-75	-1.49	1.49271669662038	-1	0.1355113609219	0.398562826240882
Grip strength measurement/ Muscle weakness (requested) 33510174	Grip strength measurement/ Muscle weakness	0.09	0.01	7.61	2.66489884755697e-14	0.11	0.01	12.98	1.62529202702439e-38	-1.36	1.35608335986253	-1	0.175072646674851	0.48631290743014
LDL (requested) 36575460	LDL	0.09	0.01	8.04	4.65176548895986e-16	0.11	0.01	8.37	2.9886722870155e-17	-1.27	1.26544231883365	-1	0.205712813170349	0.541349508343025
Parkinson's disease (requested) 33901317	Parkinson's disease	0.07	0.01	10.35	4.21969173305485e-25	0.08	0.01	7.21	5.45985404911904e-13	-1.16	1.15675468742319	-1	0.247372599542798	0.618431498856994
TC (requested) 36575460	TC	0.1	0.01	9.29	7.45935054220326e-21	0.12	0.01	9.01	1.05385469130956e-19	-1.08	1.07583598374294	-1	0.282000616078811	0.671430038282884
Spelling (requested) 35998220	Spelling	0.15	0.06	2.63	0.00423879418307772	0.22	0.05	4.21	1.26108825475641e-05	-1.01	1.01027793563069	-1	0.31236214916156	0.688212208027648
Waist circumference  (atlas) 25673412	Waist circumference	0.17	0.01	13.29	1.2598872173499e-40	0.15	0.01	19.11	9.93584887276029e-82	0.98	0.978214849414122	1	0.327968073642598	0.688212208027648
Performance IQ (requested) 35998220	Performance IQ	0.21	0.05	4.36	6.49075070566312e-06	0.15	0.05	3.07	0.00105550731528185	0.95	0.953669171746656	1	0.340251129727329	0.688212208027648
logTG (requested) 36575460	logTG	0.11	0.01	9.7	1.44459019017755e-22	0.13	0.01	10.29	3.89574529457503e-25	-0.95	0.946083293809385	-1	0.344106104013824	0.688212208027648
