Trait	Intercept	Intercept_SE	GC	GC_SE	PValue
100m	100m	0.981	0.0069	1.0	6.1013e-09	0.0
100m	126m	0.8379	0.0098	0.498	0.1005	7.2469e-07
100m	136m	0.8638	0.0076	0.0656	0.0776	0.398
100m	144m	0.7966	0.008	-0.2811	0.0802	0.0005
100m	151m	0.972	0.0068	-0.2154	0.1214	0.0758
100m	152m	0.9651	0.0077	0.1823	0.145	0.2086
100m	157m	0.8726	0.0088	0.0253	0.0944	0.7883
100m	163m	0.8675	0.0095	0.4371	0.1063	3.9013e-05
100m	169m	0.8603	0.0079	-0.1158	0.0876	0.1863
100m	175m	0.8729	0.0081	0.3177	0.0956	0.0009
100m	181m	0.8903	0.0075	-0.2985	0.1045	0.0043
100m	187m	0.9031	0.0077	-0.1171	0.1028	0.2547
100m	4212m	1.0034	0.0104	0.1153	0.148	0.4362
100m	4370m	1.0248	0.0101	-0.0688	0.1889	0.7156
100m	4373m	0.9984	0.0076	0.0746	0.1241	0.5476
100m	49m	0.9427	0.007	0.0828	0.1088	0.4467
100m	52m	0.9739	0.0066	-0.061	0.1356	0.6526
100m	97m	0.9755	0.0077	0.1145	0.1579	0.4685
100m	99f	0.9838	0.0067	0.824	0.2031	4.9781e-05
100m	a13m	1.0007	0.0111	-0.0176	0.0897	0.8444
100m	a1m	0.9966	0.0082	0.0753	0.0979	0.4414
100m	a21m	1.0207	0.0074	-0.4261	0.1434	0.003
100m	a22m	1.0181	0.0075	-0.0119	0.0791	0.88
100m	a27m	1.0263	0.0314	-0.1042	0.1434	0.4675
100m	a28m	0.9864	0.0228	-0.1327	0.172	0.4404
100m	a29m	1.0186	0.0094	-0.0955	0.0928	0.3038
100m	a30m	0.9538	0.009	-0.0669	0.0798	0.4023
100m	a7m	0.962	0.0086	0.1039	0.1168	0.3738
100m	a8m	1.0425	0.0157	-0.2446	0.0831	0.0032
100m	a9m	1.0089	0.0088	0.124	0.1145	0.279
100m	ADr1um	0.9747	0.0149	0.1577	0.2269	0.487
100m	bm1m	1.0087	0.0068	-0.0426	0.1754	0.808
100m	bm2m	0.9956	0.0079	-0.2194	0.1962	0.2636
100m	bm4m	0.9948	0.0072	-0.1168	0.1882	0.5349
100m	bm5m	1.008	0.0075	-0.2291	0.1207	0.0578
100m	bm6m	0.9974	0.0086	-0.0915	0.1238	0.4596
100m	bm7m	1.0046	0.0082	-0.153	0.1289	0.2353
100m	bm8m	1.0123	0.0068	0.0092	0.1905	0.9613
100m	ch1m	0.9992	0.0073	0.0081	0.1871	0.9653
100m	ch4m	0.9976	0.0066	-0.1423	0.1904	0.4551
100m	ch5m	1.0009	0.0068	0.0663	0.2033	0.7443
100m	ch6m	0.9889	0.0065	-0.0478	0.1737	0.7832
100m	l1m	1.0901	0.0374	0.076	0.0539	0.1582
100m	l2m	1.0562	0.0303	-0.0207	0.0712	0.7716
100m	l3m	1.0982	0.0339	0.0059	0.0615	0.923
100m	l4m	1.0588	0.0327	-0.0466	0.0635	0.4628
100m	l5m	1.0693	0.0254	-0.0295	0.067	0.6601
100m	r10m	0.9959	0.0087	-0.0101	0.1862	0.9568
100m	r4m	1.0136	0.0072	-0.1988	0.1499	0.1846
100m	r5m	1.0072	0.0115	-0.0597	0.0642	0.3517
100m	r8m	1.009	0.008	0.0408	0.0996	0.6822
100m	r9m	0.9956	0.0067	-0.1746	0.1609	0.278
126m	126m	0.8355	0.0094	1.0	2.2340e-06	0.0
126m	127f	0.8266	0.0109	0.9504	0.0253	9.0022e-309
126m	136m	0.864	0.0074	0.584	0.0289	1.1098e-90
126m	144m	0.7957	0.0078	-0.073	0.0306	0.017
126m	151m	0.9725	0.007	-0.0994	0.0583	0.0881
126m	152m	0.9652	0.0073	-0.0475	0.0651	0.465
126m	157m	0.8737	0.0087	0.4591	0.0375	1.5513e-34
126m	163m	0.8672	0.0095	0.8468	0.0251	3.1767e-249
126m	169m	0.8607	0.0078	0.2499	0.0365	7.2700e-12
126m	175m	0.8741	0.0081	0.652	0.0274	1.0035e-124
126m	181m	0.8903	0.0076	-0.1691	0.0433	9.3537e-05
126m	187m	0.9035	0.0076	-0.1432	0.0497	0.0039
126m	4212m	1.0042	0.0099	0.0538	0.0627	0.3906
126m	4370m	1.0236	0.0102	-0.0545	0.0728	0.4539
126m	4373m	0.9974	0.0078	0.0697	0.051	0.1718
126m	49m	0.9436	0.0074	0.1967	0.044	7.8326e-06
126m	52m	0.9718	0.0069	-0.041	0.0527	0.4365
126m	97m	0.9788	0.0077	0.8434	0.0868	2.5535e-22
