pair_name	Trait1.x	Trait2.x	Intercept.x	Intercept_SE.x	GC.x	GC_SE.x	PValue.x	sid_pair.x	Trait1_name.x	Trait2_name.x	sex1.x	sex2.x	pair_sids.x	P_adj.x	Trait1.y	Trait2.y	Intercept.y	Intercept_SE.y	GC.y	GC_SE.y	PValue.y	sid_pair.y	Trait1_name.y	Trait2_name.y	sex1.y	sex2.y	pair_sids.y	P_adj.y	stat	p_diff	p_diff_adj
nonHDL---Waist circumference	169m	l5m	1.0698	0.0278	0.0197	0.036	0.5852	169m:l5m	Waist circumference	nonHDL	male	male	169m:l5m	0.724648366013072	171f	l5f	1.0942	0.0294	0.2637	0.0295	3.4955e-19	171f:l5f	Waist circumference	nonHDL	female	female	171f:l5f	3.37422755102041e-18	-5.24246498537742	1.58445466365451e-07	6.43864758775967e-06
LDL---Waist-hip ratio	181m	l2m	1.0662	0.0354	-0.0068	0.0356	0.8489	181m:l2m	Waist-hip ratio	LDL	male	male	181m:l2m	0.90946704416761	183f	l2f	1.0795	0.029	0.2813	0.0338	7.8863e-17	183f:l2f	Waist-hip ratio	LDL	female	female	183f:l2f	6.72111693693694e-16	-5.86884660260005	4.38837209060934e-09	2.8022890350034e-07
LDL---Type 2 diabetes	a8m	l2m	1.0643	0.0286	-0.0144	0.0305	0.6373	a8m:l2m	Type 2 diabetes	LDL	male	male	a8m:l2m	0.769969093231162	a8f	l2f	1.0736	0.0303	0.1879	0.0262	7.916e-13	a8f:l2f	Type 2 diabetes	LDL	female	female	a8f:l2f	5.38743597122302e-12	-5.03132656571484	4.87097631047423e-07	1.81443867565165e-05
LDL---Waist-hip ratio (adjBMI)	187m	l2m	1.0748	0.0368	0.0547	0.0407	0.1793	187m:l2m	Waist-hip ratio (adjBMI)	LDL	male	male	187m:l2m	0.323081523809524	189f	l2f	1.0803	0.0295	0.2278	0.0352	9.2211e-11	189f:l2f	Waist-hip ratio (adjBMI)	LDL	female	female	189f:l2f	5.451975375e-10	-3.21686646563799	0.00129598903320663	0.0123256829328375
LDL---Waist-hip ratio (> 50 yrs, adjBMI)	151m	l2m	1.0569	0.0311	0.0123	0.0467	0.7925	151m:l2m	Waist-hip ratio (> 50 yrs, adjBMI)	LDL	male	male	151m:l2m	0.87175	153f	l2f	1.0874	0.0311	0.2464	0.0417	3.5049e-09	153f:l2f	Waist-hip ratio (> 50 yrs, adjBMI)	LDL	female	female	153f:l2f	1.927695e-08	-3.73913002270131	0.000184658203867673	0.00257944428527656
Body Mass Index---Insomnia	144m	a1m	0.9961	0.0081	0.0391	0.043	0.3638	144m:a1m	Body Mass Index	Insomnia	male	male	144m:a1m	0.536902964118565	145f	a1f	1.0108	0.0085	0.1731	0.0313	3.0454e-08	145f:a1f	Body Mass Index	Insomnia	female	female	145f:a1f	1.55726940540541e-07	-2.51948699397667	0.0117525982145932	0.0694832291171994
TC---Waist-hip ratio	181m	l3m	1.1215	0.0419	-0.0067	0.0366	0.8552	181m:l3m	Waist-hip ratio	TC	male	male	181m:l3m	0.915180090497738	183f	l3f	1.1202	0.0336	0.1526	0.0318	1.6063e-06	183f:l3f	Waist-hip ratio	TC	female	female	183f:l3f	7.37650388349515e-06	-3.28554889580227	0.00101783874754831	0.00989073739465427
nonHDL---Waist circumference (adjBMI)	175m	l5m	1.071	0.028	-0.0365	0.033	0.2694	175m:l5m	Waist circumference (adjBMI)	nonHDL	male	male	175m:l5m	0.431542470389171	177f	l5f	1.0948	0.0298	0.1634	0.0346	2.3568e-06	177f:l5f	Waist circumference (adjBMI)	nonHDL	female	female	177f:l5f	1.06168228571429e-05	-4.18080087438872	2.90484165743406e-05	0.000590211009487739
Insomnia---Waist circumference	169m	a1m	0.9967	0.0093	0.0507	0.0491	0.3021	169m:a1m	Waist circumference	Insomnia	male	male	169m:a1m	0.469122950819672	171f	a1f	1.0111	0.0084	0.1606	0.0342	2.7034e-06	171f:a1f	Waist circumference	Insomnia	female	female	171f:a1f	1.20632849056604e-05	-1.83666049915617	0.0662600300381898	0.19614724123888
TC---Waist-hip ratio (> 50 yrs, adjBMI)	151m	l3m	1.1042	0.0355	0.0503	0.0456	0.2692	151m:l3m	Waist-hip ratio (> 50 yrs, adjBMI)	TC	male	male	151m:l3m	0.431542470389171	153f	l3f	1.1312	0.0368	0.1872	0.0404	3.5689e-06	153f:l3f	Waist-hip ratio (> 50 yrs, adjBMI)	TC	female	female	153f:l3f	1.56304601851852e-05	-2.24712662536853	0.0246319357672636	0.118037655820944
