Trait1	Trait2	Intercept	Intercept_SE	GC	GC_SE	PValue	sid_pair	Trait1_name	Trait2_name	sex1	sex2	pair_sids	pair_name	est	est_se	stat	rg1_p	rg1_p_adj	rg_se	TRAIT1_C	PAIR
bm2m	bm2f	0.9951	0.0068	0.5459	0.143	1e-04	bm2m:bm2f	Left 5m area (requested) NA	Left 5m area (requested) NA	male	female	bm2m:bm2f	Left 5m area (requested) NA:Left 5m area (requested) NA	0.5459	0.143	3.17552447552448	0.00074782951871413	0.00233696724598166	0.5459 (0.143)	Left 5m area	Left 5m area --- Left 5m area
151m	153f	0.9334	0.0086	0.5894	0.0739	1.4618e-15	151m:153f	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	male	female	151m:153f	Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971:Waist-hip ratio (> 50 yrs, adjusted for BMI) (atlas) 26426971	0.5894	0.0739	5.55615696887686	1.37889445144747e-08	1.37889445144747e-07	0.5894 (0.0739)	Waist-hip ratio (> 50 yrs, adjBMI)	Waist-hip ratio (> 50 yrs, adjBMI) --- Waist-hip ratio (> 50 yrs, adjBMI)
a28m	a28f	0.9536	0.0175	0.6466	0.0786	1.8717e-16	a28m:a28f	Fasting insulin (requested) 33402679	Fasting insulin (requested) 33402679	male	female	a28m:a28f	Fasting insulin (requested) 33402679:Fasting insulin (requested) 33402679	0.6466	0.0786	4.49618320610687	3.45920654458382e-06	1.92178141365768e-05	0.6466 (0.0786)	Fasting insulin	Fasting insulin --- Fasting insulin
187m	189f	0.9237	0.0114	0.6735	0.0615	6.871e-28	187m:189f	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	Waist-hip ratio (adjusted for BMI) (atlas) 25673412	male	female	187m:189f	Waist-hip ratio (adjusted for BMI) (atlas) 25673412:Waist-hip ratio (adjusted for BMI) (atlas) 25673412	0.6735	0.0615	5.30894308943089	5.51313762549382e-08	4.59428135457818e-07	0.6735 (0.0615)	Waist-hip ratio (adjBMI)	Waist-hip ratio (adjBMI) --- Waist-hip ratio (adjBMI)
152m	154f	0.9576	0.0076	0.6956	0.1096	2.2297e-10	152m:154f	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	male	female	152m:154f	Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971:Waist-hip ratio (<= 50 yrs, adjusted for BMI) (atlas) 26426971	0.6956	0.1096	2.77737226277372	0.00274001876887654	0.00685004692219135	0.6956 (0.1096)	Waist-hip ratio (<= 50 yrs, adjBMI)	Waist-hip ratio (<= 50 yrs, adjBMI) --- Waist-hip ratio (<= 50 yrs, adjBMI)
175m	177f	0.8905	0.0091	0.7449	0.0453	7.439e-61	175m:177f	Waist circumference (adjusted for BMI) (atlas) 25673412	Waist circumference (adjusted for BMI) (atlas) 25673412	male	female	175m:177f	Waist circumference (adjusted for BMI) (atlas) 25673412:Waist circumference (adjusted for BMI) (atlas) 25673412	0.7449	0.0453	5.63134657836645	8.94039980776465e-09	1.11754997597058e-07	0.7449 (0.0453)	Waist circumference (adjBMI)	Waist circumference (adjBMI) --- Waist circumference (adjBMI)
181m	183f	0.8945	0.0106	0.7466	0.0512	3.4438e-48	181m:183f	Waist-hip ratio  (atlas) 25673412	Waist-hip ratio  (atlas) 25673412	male	female	181m:183f	Waist-hip ratio  (atlas) 25673412:Waist-hip ratio  (atlas) 25673412	0.7466	0.0512	4.94921875	3.72559823632901e-07	2.66114159737787e-06	0.7466 (0.0512)	Waist-hip ratio 	Waist-hip ratio  --- Waist-hip ratio 
a27m	a27f	0.9546	0.0258	0.7994	0.0571	1.3754e-44	a27m:a27f	Fasting glucose (requested) 33402679	Fasting glucose (requested) 33402679	male	female	a27m:a27f	Fasting glucose (requested) 33402679:Fasting glucose (requested) 33402679	0.7994	0.0571	3.51313485113835	0.000221426326837091	0.000851639718604196	0.7994 (0.0571)	Fasting glucose	Fasting glucose --- Fasting glucose
r8m	r8f	0.999	0.0073	0.8092	0.042	6.8883e-83	r8m:r8f	Risk-taking behaviour (requested) 30181555	Risk-taking behaviour (requested) 30181555	male	female	r8m:r8f	Risk-taking behaviour (requested) 30181555:Risk-taking behaviour (requested) 30181555	0.8092	0.042	4.54285714285714	2.77484312160458e-06	1.73427695100287e-05	0.8092 (0.042)	Risk-taking behaviour	Risk-taking behaviour --- Risk-taking behaviour
a1m	a1f	1.0095	0.008	0.8486	0.0522	1.7645e-59	a1m:a1f	Insomnia (requested) 35835914	Insomnia (requested) 35835914	male	female	a1m:a1f	Insomnia (requested) 35835914:Insomnia (requested) 35835914	0.8486	0.0522	2.90038314176245	0.00186353390324371	0.00517648306456586	0.8486 (0.0522)	Insomnia	Insomnia --- Insomnia
