p1	p2	gcov_int	gencov	envcov	envvarp1	envvarp2
100m	100m	0.981	0.3831	0.5979	0.5979	0.5979
100m	126m	0.0856	0.1533	-0.0677	0.5979	0.5791
100m	136m	0.0299	0.0174	0.0125	0.5979	0.6742
100m	144m	-0.0157	-0.0701	0.0544	0.5979	0.6318
100m	151m	0.0032	-0.0445	0.0477	0.5979	0.8596
100m	152m	-7e-04	0.0403	-0.041	0.5979	0.8341
100m	157m	0.0319	0.0068	0.0251	0.5979	0.6923
100m	163m	0.0763	0.1269	-0.0506	0.5979	0.6671
100m	169m	0.0119	-0.0295	0.0414	0.5979	0.6895
100m	175m	0.0611	0.0823	-0.0212	0.5979	0.6965
100m	181m	-0.0103	-0.0709	0.0606	0.5979	0.7532
100m	187m	0.0033	-0.0267	0.03	0.5979	0.777
100m	4212m	0.0081	0.0272	-0.0191	0.5979	0.8551
100m	4370m	0.0048	-0.0136	0.0184	0.5979	0.9286
100m	4373m	-0.0065	0.0199	-0.0264	0.5979	0.8008
100m	49m	0.0017	0.0173	-0.0156	0.5979	0.8291
100m	52m	0.0089	-0.0069	0.0158	0.5979	0.9356
100m	97m	-0.0043	0.0433	-0.0476	0.5979	0.5823
100m	99f	0.0061	0.3069	-0.3008	0.5979	0.6126
100m	a13m	-0.0032	-0.0024	-8e-04	0.5979	0.9478
100m	a1m	-0.0023	0.01	-0.0123	0.5979	0.9561
100m	a21m	-0.0015	-0.047	0.0455	0.5979	0.9845
100m	a22m	-3.1118e-05	-0.0017	0.001668882	0.5979	0.9608
100m	a27m	0.0243	-0.0575	0.0818	0.5979	0.6368
100m	a28m	0.006	-0.0677	0.0737	0.5979	0.6308
100m	a29m	0.0109	-0.0153	0.0262	0.5979	0.9533
100m	a30m	0.0022	-0.0185	0.0207	0.5979	0.7461
100m	a7m	-0.0051	0.0156	-0.0207	0.5979	0.8943
100m	a8m	0.0114	-0.0341	0.0455	0.5979	0.9856
100m	a9m	-0.0048	0.0379	-0.0427	0.5979	0.7561
100m	ADr1um	-0.0028	0.0065	-0.0093	0.5979	0.9906
100m	bm1m	3e-04	-0.0094	0.0097	0.5979	0.8737
100m	bm2m	0.0056	-0.0563	0.0619	0.5979	0.8391
100m	bm4m	0.001	-0.0232	0.0242	0.5979	0.8894
100m	bm5m	0.0075	-0.0804	0.0879	0.5979	0.6631
100m	bm6m	0.005	-0.0337	0.0387	0.5979	0.6483
100m	bm7m	0.0058	-0.055	0.0608	0.5979	0.6693
100m	bm8m	-3e-04	0.002	-0.0023	0.5979	0.8766
100m	ch1m	-0.0016	0.0025	-0.0041	0.5979	0.7605
100m	ch4m	0.0069	-0.0396	0.0465	0.5979	0.7866
100m	ch5m	-0.003	0.0168	-0.0198	0.5979	0.8595
100m	ch6m	-0.0014	-0.0116	0.0102	0.5979	0.831
100m	l1m	-0.0016	0.0136	-0.0152	0.5979	0.9945
100m	l2m	-0.0032	-0.003	-2e-04	0.5979	1.0098
100m	l3m	-0.0069	9e-04	-0.0078	0.5979	1.0446
100m	l4m	-0.0039	-0.0081	0.0042	0.5979	0.9708
100m	l5m	-0.0044	-0.0046	2e-04	0.5979	1.0113
100m	r10m	8e-04	-0.0017	0.0025	0.5979	0.9353
100m	r4m	0.0061	-0.0255	0.0316	0.5979	0.9782
100m	r5m	-0.0013	-0.0237	0.0224	0.5979	0.5851
100m	r8m	-7e-04	0.0064	-0.0071	0.5979	0.9367
100m	r9m	0.0051	-0.0535	0.0586	0.5979	0.7313
126m	126m	0.8355	0.2564	0.5791	0.5791	0.5791
126m	127f	0.0595	0.2366	-0.1771	0.5791	0.5836
126m	136m	0.354	0.1277	0.2263	0.5791	0.6742
126m	144m	-0.041	-0.0149	-0.0261	0.5791	0.6318
126m	151m	0.0163	-0.0168	0.0331	0.5791	0.8596
126m	152m	-1e-04	-0.0086	0.0085	0.5791	0.8341
126m	157m	0.1363	0.0981	0.0382	0.5791	0.6923
126m	163m	0.2607	0.1907	0.07	0.5791	0.6671
126m	169m	0.0865	0.0523	0.0342	0.5791	0.6895
126m	175m	0.2324	0.1375	0.0949	0.5791	0.6965
126m	181m	-0.0062	-0.0316	0.0254	0.5791	0.7532
126m	187m	0.011	-0.0256	0.0366	0.5791	0.777
126m	4212m	-0.0015	0.0104	-0.0119	0.5791	0.8551
126m	4370m	0.0032	-0.0089	0.0121	0.5791	0.9286
126m	4373m	0.0058	0.0153	-0.0095	0.5791	0.8008
126m	49m	0.0024	0.0334	-0.031	0.5791	0.8291
126m	52m	0.0014	-0.0038	0.0052	0.5791	0.9356
126m	97m	0.0862	0.2579	-0.1717	0.5791	0.5823
126m	a13m	-0.0024	-0.0172	0.0148	0.5791	0.9478
126m	a1m	-0.0041	-5.3739e-06	-0.0040946261	0.5791	0.9561
126m	a21m	-0.0169	-0.0357	0.0188	0.5791	0.9845
126m	a22m	0.0058	-0.0132	0.019	0.5791	0.9608
126m	a27m	-0.0196	0.0385	-0.0581	0.5791	0.6368
126m	a28m	-0.0028	0.0168	-0.0196	0.5791	0.6308
126m	a29m	2e-04	-0.0056	0.0058	0.5791	0.9533
126m	a30m	0.0364	0.0231	0.0133	0.5791	0.7461
126m	a7m	0.0098	-0.0024	0.0122	0.5791	0.8943
126m	a8m	-0.0072	-0.0034	-0.0038	0.5791	0.9856
126m	a9m	-0.0024	-0.0196	0.0172	0.5791	0.7561
126m	ADr1um	-0.0032	-0.0038	6e-04	0.5791	0.9906
126m	bm1m	-0.002	0.0057	-0.0077	0.5791	0.8737
126m	bm2m	-3e-04	-0.0142	0.0139	0.5791	0.8391
126m	bm4m	0.0028	-0.0084	0.0112	0.5791	0.8894
126m	bm5m	0.0017	-0.0196	0.0213	0.5791	0.6631
126m	bm6m	0.0052	-0.0224	0.0276	0.5791	0.6483
126m	bm7m	0.0027	-0.0236	0.0263	0.5791	0.6693
126m	bm8m	-0.0019	0.0114	-0.0133	0.5791	0.8766
126m	ch1m	-0.0056	0.0467	-0.0523	0.5791	0.7605
126m	ch4m	5e-04	0.0026	-0.0021	0.5791	0.7866
126m	ch5m	-0.0041	0.0347	-0.0388	0.5791	0.8595
126m	ch6m	-0.0058	0.0327	-0.0385	0.5791	0.831
126m	l1m	-0.0071	-0.0078	0.000699999999999999	0.5791	0.9945
126m	l2m	-0.0165	-0.0158	-0.000699999999999999	0.5791	1.0098
126m	l3m	-0.0219	-0.0189	-0.003	0.5791	1.0446
126m	l4m	-0.0059	-0.0085	0.0026	0.5791	0.9708
126m	l5m	-0.0138	-0.0193	0.0055	0.5791	1.0113
126m	r10m	-0.0117	-0.0052	-0.0065	0.5791	0.9353
126m	r4m	-0.0065	-3e-04	-0.0062	0.5791	0.9782
126m	r5m	-0.0146	0.0032	-0.0178	0.5791	0.5851
126m	r8m	-0.001	-0.0061	0.0051	0.5791	0.9367
126m	r9m	0.0039	0.0112	-0.0073	0.5791	0.7313
127f	127f	0.8272	0.2436	0.5836	0.5836	0.5836
127f	137f	0.2364	0.0891	0.1473	0.5836	0.6383
