pair_name	domain_pair	pleio_total	pleio_type_AGONIST	pleio_type_ANTAGONIST	overlap_concordance_CONCORDANT	overlap_concordance_DISCORDANT	convincing_CONVINCING	convincing_type_CONVINCING_DISTINCT
Alzheimer's Disease:Cardiovascular disease	Disease:Disease	1	1	NA	1	NA	1	1
Alzheimer's Disease:HDL	Disease:Metabolic	1	NA	1	1	NA	1	1
Alzheimer's Disease:logTG	Disease:Metabolic	1	1	NA	1	NA	1	1
Body Mass Index:Educational attainment	Antropometric:Behavioural	1	1	NA	1	NA	1	1
Body Mass Index:Fasting glucose	Antropometric:Metabolic	1	1	NA	1	NA	1	1
Body Mass Index:HDL	Antropometric:Metabolic	4	2	2	3	1	4	4
Body Mass Index:LDL	Antropometric:Metabolic	2	1	1	2	NA	2	2
Body Mass Index:TC	Antropometric:Metabolic	2	1	1	2	NA	2	2
Body Mass Index:logTG	Antropometric:Metabolic	1	1	NA	1	NA	1	1
Body Mass Index:nonHDL	Antropometric:Metabolic	1	1	NA	1	NA	1	1
Cardiovascular disease:HDL	Disease:Metabolic	1	1	NA	1	NA	1	1
Cardiovascular disease:LDL	Disease:Metabolic	2	1	1	2	NA	2	2
Cardiovascular disease:Type 2 diabetes	Disease:Disease	1	NA	1	1	NA	1	1
Cardiovascular disease:logTG	Disease:Metabolic	1	1	NA	1	NA	1	1
Educational attainment:HDL	Behavioural:Metabolic	3	3	NA	3	NA	3	3
Educational attainment:LDL	Behavioural:Metabolic	1	1	NA	NA	1	1	1
Educational attainment:TC	Behavioural:Metabolic	3	2	1	2	1	3	3
Educational attainment:logTG	Behavioural:Metabolic	1	NA	1	1	NA	1	1
Fasting glucose:HDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1
Fasting glucose:TC	Metabolic:Metabolic	1	1	NA	1	NA	1	1
Fasting glucose:logTG	Metabolic:Metabolic	3	2	1	3	NA	3	3
Glycine level:logTG	Metabolic:Metabolic	1	1	NA	1	NA	1	1
HDL:Height	Antropometric:Metabolic	2	1	1	2	NA	2	2
HDL:Hip circumference (adjBMI)	Antropometric:Metabolic	2	1	1	2	NA	2	2
HDL:LDL	Metabolic:Metabolic	26	17	9	19	7	26	26
HDL:Parkinson's disease	Disease:Metabolic	2	NA	2	1	1	2	2
HDL:Right Putamen	Anatomical:Metabolic	1	NA	1	1	NA	1	1
HDL:Schizophrenia	Disease:Metabolic	1	NA	1	1	NA	1	1
HDL:TC	Metabolic:Metabolic	30	20	10	26	4	30	30
HDL:Type 2 diabetes	Disease:Metabolic	2	1	1	2	NA	2	2
HDL:Waist circumference	Antropometric:Metabolic	1	1	NA	1	NA	1	1
HDL:Waist circumference (adjBMI)	Antropometric:Metabolic	1	1	NA	NA	1	1	1
HDL:logTG	Metabolic:Metabolic	13	10	3	12	1	13	13
HDL:nonHDL	Metabolic:Metabolic	21	13	8	15	6	21	21
Height:LDL	Antropometric:Metabolic	1	NA	1	1	NA	1	1
Height:TC	Antropometric:Metabolic	2	NA	2	2	NA	2	2
Height:Type 2 diabetes	Antropometric:Disease	1	1	NA	1	NA	1	1
Height:logTG	Antropometric:Metabolic	2	NA	2	2	NA	2	2
Height:nonHDL	Antropometric:Metabolic	1	NA	1	1	NA	1	1
Hip circumference (adjBMI):LDL	Antropometric:Metabolic	1	NA	1	1	NA	1	1
Hip circumference (adjBMI):TC	Antropometric:Metabolic	1	NA	1	1	NA	1	1
Hip circumference (adjBMI):logTG	Antropometric:Metabolic	1	NA	1	1	NA	1	1
Hip circumference (adjBMI):nonHDL	Antropometric:Metabolic	1	NA	1	1	NA	1	1
LDL:Parkinson's disease	Disease:Metabolic	2	NA	2	2	NA	2	2
LDL:Schizophrenia	Disease:Metabolic	2	1	1	1	1	2	2
LDL:Snoring	Condition:Metabolic	1	1	NA	1	NA	1	1
LDL:TC	Metabolic:Metabolic	1	NA	1	1	NA	1	1
LDL:Thyroid-stimulating hormone	Metabolic:Metabolic	1	NA	1	1	NA	1	1
