pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
ADHD:Cardiovascular disease	male	1	NA	1	1	NA	1	1	NA
ADHD:Educational attainment	female	1	1	NA	NA	NA	1	1	NA
ADHD:Educational attainment	male	1	1	NA	NA	NA	1	1	NA
ADHD:Fasting insulin	male	1	1	NA	NA	NA	1	1	NA
ADHD:Insomnia	male	1	NA	1	NA	1	1	1	NA
ADHD:LDL	female	3	1	2	1	1	3	3	NA
ADHD:Left Caudate	female	1	1	NA	NA	NA	1	1	NA
ADHD:Multisite chronic pain	male	1	NA	1	1	NA	1	1	NA
ADHD:Number of children ever born	male	1	NA	1	1	NA	1	1	NA
ADHD:Parkinson's disease	female	1	NA	1	NA	1	1	1	NA
ADHD:Schizophrenia	male	3	NA	3	1	2	3	2	1
ADHD:TC	female	2	1	1	1	NA	2	2	NA
ADHD:logTG	female	1	NA	1	1	NA	1	1	NA
ADHD:nonHDL	female	2	1	1	NA	1	2	1	1
Age at first birth:Body Mass Index	female	1	1	NA	NA	NA	1	1	NA
Age at first birth:Educational attainment	female	4	NA	4	3	1	4	2	2
Age at first birth:HDL	female	2	NA	2	1	1	2	2	NA
Age at first birth:HDL	male	1	NA	1	NA	1	1	1	NA
Age at first birth:Multisite chronic pain	male	1	1	NA	NA	NA	1	1	NA
Age at first birth:Risk-taking behaviour	female	1	1	NA	NA	NA	1	1	NA
Age at first birth:Schizophrenia	male	1	1	NA	NA	NA	1	1	NA
Age at first birth:TC	female	1	NA	1	1	NA	1	1	NA
Age at first birth:Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
Age at first birth:logTG	male	1	1	NA	NA	NA	1	1	NA
Alzheimer's Disease:Cardiovascular disease	female	1	NA	1	NA	1	1	NA	1
Alzheimer's Disease:Cardiovascular disease	male	1	NA	1	NA	1	1	NA	1
Alzheimer's Disease:Carotid intima-media thickness	male	1	NA	1	NA	1	1	NA	1
Alzheimer's Disease:HDL	female	1	1	NA	NA	NA	1	NA	1
Alzheimer's Disease:HDL	male	1	1	NA	NA	NA	1	NA	1
Alzheimer's Disease:LDL	female	1	NA	1	1	NA	1	NA	1
Alzheimer's Disease:LDL	male	1	NA	1	1	NA	1	NA	1
Alzheimer's Disease:Schizophrenia	male	1	NA	1	NA	1	1	1	NA
Alzheimer's Disease:TC	female	1	NA	1	1	NA	1	NA	1
Alzheimer's Disease:TC	male	1	1	NA	NA	NA	1	NA	1
Alzheimer's Disease:Type 2 diabetes	male	1	1	NA	NA	NA	1	1	NA
