pair_name	domain_pair	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	overlap_concordance_CONCORDANT	overlap_concordance_DISCORDANT	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
Age at first birth:HDL	Fertility:Metabolic	1	NA	1	1	NA	1	1	NA
Alzheimer's Disease:Cardiovascular disease	Disease:Disease	1	NA	1	1	NA	1	NA	1
Alzheimer's Disease:HDL	Disease:Metabolic	1	1	NA	1	NA	1	NA	1
Alzheimer's Disease:logTG	Disease:Metabolic	1	NA	1	1	NA	1	NA	1
Body Mass Index:Educational attainment	Antropometric:Behavioural	2	1	1	2	NA	2	1	1
Body Mass Index:Fasting glucose	Antropometric:Metabolic	2	1	1	2	NA	2	1	1
Body Mass Index:Grip strength measurement/ Muscle weakness	Antropometric:Trait	1	NA	1	1	NA	1	1	NA
Body Mass Index:HDL	Antropometric:Metabolic	11	8	3	10	1	11	5	6
Body Mass Index:Hip circumference	Antropometric:Antropometric	9	NA	9	9	NA	9	9	NA
Body Mass Index:LDL	Antropometric:Metabolic	3	2	1	3	NA	3	1	2
Body Mass Index:Multisite chronic pain	Antropometric:Condition	1	NA	1	1	NA	1	1	NA
Body Mass Index:Pubertal growth	Antropometric:Developmental	1	1	NA	1	NA	1	1	NA
Body Mass Index:Schizophrenia	Antropometric:Disease	2	1	1	2	NA	2	2	NA
Body Mass Index:TC	Antropometric:Metabolic	6	4	2	6	NA	6	4	2
Body Mass Index:Type 2 diabetes	Antropometric:Disease	4	NA	4	4	NA	4	4	NA
Body Mass Index:Waist circumference	Antropometric:Antropometric	11	NA	11	11	NA	11	10	1
Body Mass Index:Weight	Antropometric:Antropometric	5	NA	5	5	NA	5	5	NA
Body Mass Index:logTG	Antropometric:Metabolic	7	NA	7	7	NA	7	5	2
Body Mass Index:nonHDL	Antropometric:Metabolic	1	NA	1	1	NA	1	NA	1
Cardiovascular disease:Carotid intima-media thickness	Condition:Disease	1	NA	1	1	NA	1	1	NA
Cardiovascular disease:HDL	Disease:Metabolic	5	4	1	5	NA	5	2	3
Cardiovascular disease:LDL	Disease:Metabolic	6	2	4	6	NA	6	4	2
Cardiovascular disease:Schizophrenia	Disease:Disease	1	1	NA	1	NA	1	1	NA
Cardiovascular disease:TC	Disease:Metabolic	7	3	4	7	NA	7	5	2
Cardiovascular disease:Type 2 diabetes	Disease:Disease	2	1	1	2	NA	2	1	1
Cardiovascular disease:logTG	Disease:Metabolic	4	NA	4	4	NA	4	3	1
Cardiovascular disease:nonHDL	Disease:Metabolic	8	2	6	8	NA	8	8	NA
Educational attainment:HDL	Behavioural:Metabolic	8	1	7	8	NA	8	3	5
Educational attainment:Height	Antropometric:Behavioural	1	NA	1	1	NA	1	1	NA
Educational attainment:LDL	Behavioural:Metabolic	1	NA	1	NA	1	1	NA	1
Educational attainment:Schizophrenia	Behavioural:Disease	1	NA	1	1	NA	1	NA	1
Educational attainment:TC	Behavioural:Metabolic	3	1	2	2	1	3	NA	3
Educational attainment:logTG	Behavioural:Metabolic	3	3	NA	3	NA	3	2	1
Fasting glucose:Fasting insulin	Metabolic:Metabolic	2	NA	2	2	NA	2	2	NA
Fasting glucose:Glycine level	Metabolic:Metabolic	1	NA	1	1	NA	1	NA	1
Fasting glucose:HDL	Metabolic:Metabolic	1	NA	1	1	NA	1	NA	1
Fasting glucose:Hip circumference	Antropometric:Metabolic	1	1	NA	1	NA	1	1	NA
Fasting glucose:LDL	Metabolic:Metabolic	2	2	NA	2	NA	2	2	NA
Fasting glucose:TC	Metabolic:Metabolic	2	NA	2	2	NA	2	1	1
Fasting glucose:Type 2 diabetes	Disease:Metabolic	7	NA	7	7	NA	7	7	NA
Fasting glucose:logTG	Metabolic:Metabolic	5	3	2	5	NA	5	2	3
Fasting glucose:nonHDL	Metabolic:Metabolic	3	2	1	3	NA	3	3	NA
Fasting insulin:Glycine level	Metabolic:Metabolic	1	NA	1	1	NA	1	1	NA
Fasting insulin:LDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Fasting insulin:Type 2 diabetes	Disease:Metabolic	1	NA	1	1	NA	1	1	NA
Fasting insulin:Waist-hip ratio	Antropometric:Metabolic	1	NA	1	1	NA	1	1	NA
Fasting insulin:Weight	Antropometric:Metabolic	1	NA	1	1	NA	1	1	NA
Fasting insulin:nonHDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Free thyroxine (FT4):LDL	Metabolic:Metabolic	2	2	NA	2	NA	2	2	NA
Free thyroxine (FT4):TC	Metabolic:Metabolic	2	2	NA	2	NA	2	2	NA
Free thyroxine (FT4):nonHDL	Metabolic:Metabolic	2	2	NA	2	NA	2	2	NA
Glycine level:HDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Glycine level:LDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Glycine level:TC	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Glycine level:logTG	Metabolic:Metabolic	1	NA	1	1	NA	1	NA	1
Glycine level:nonHDL	Metabolic:Metabolic	1	1	NA	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:HDL	Metabolic:Trait	1	1	NA	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Hip circumference (adjBMI)	Antropometric:Trait	1	1	NA	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:LDL	Metabolic:Trait	1	1	NA	1	NA	1	1	NA
Grip strength measurement/ Muscle weakness:Multisite chronic pain	Condition:Trait	1	NA	1	1	NA	1	1	NA
