pair_name	sex	pleio_total	pleio_type_ANTAGONIST	pleio_type_AGONIST	pleio_agonist_dir_POSITIVE	pleio_agonist_dir_NEGATIVE	convincing_CONVINCING	convincing_type_CONVINCING_SAME	convincing_type_CONVINCING_DISTINCT
ADHD:Alzheimer's Disease	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:Body Mass Index	female	3	NA	3	2	1	NA	NA	NA
ADHD:Body Mass Index	male	6	NA	6	6	NA	NA	NA	NA
ADHD:Cardiovascular disease	female	3	NA	3	3	NA	NA	NA	NA
ADHD:Cardiovascular disease	male	5	2	3	1	2	1	1	NA
ADHD:Educational attainment	female	6	6	NA	NA	NA	1	1	NA
ADHD:Educational attainment	male	5	5	NA	NA	NA	1	1	NA
ADHD:Fasting glucose	female	5	1	4	2	2	NA	NA	NA
ADHD:Fasting glucose	male	1	1	NA	NA	NA	NA	NA	NA
ADHD:Fasting insulin	male	2	1	1	1	NA	1	1	NA
ADHD:Free thyroxine (FT4)	male	2	NA	2	2	NA	NA	NA	NA
ADHD:Glycine level	female	5	1	4	3	1	NA	NA	NA
ADHD:Glycine level	male	4	3	1	NA	1	NA	NA	NA
ADHD:HDL	female	6	4	2	2	NA	NA	NA	NA
ADHD:HDL	male	18	10	8	4	4	NA	NA	NA
ADHD:Height	female	3	2	1	1	NA	NA	NA	NA
ADHD:Height	male	2	2	NA	NA	NA	NA	NA	NA
ADHD:Hip circumference	female	1	NA	1	1	NA	NA	NA	NA
ADHD:Hip circumference	male	3	NA	3	2	1	NA	NA	NA
ADHD:Hip circumference (adjBMI)	female	1	NA	1	1	NA	NA	NA	NA
ADHD:Hip circumference (adjBMI)	male	3	1	2	1	1	NA	NA	NA
ADHD:Insomnia	male	4	NA	4	2	2	1	1	NA
ADHD:LDL	female	11	3	8	5	3	3	3	NA
ADHD:LDL	male	19	10	9	6	3	NA	NA	NA
ADHD:Left Caudate	female	1	1	NA	NA	NA	1	1	NA
ADHD:Left Putamen	female	2	NA	2	2	NA	NA	NA	NA
ADHD:Left Putamen	male	1	NA	1	1	NA	NA	NA	NA
ADHD:Multisite chronic pain	female	1	NA	1	NA	1	NA	NA	NA
ADHD:Multisite chronic pain	male	2	NA	2	2	NA	1	1	NA
ADHD:Number of children ever born	male	1	NA	1	1	NA	1	1	NA
ADHD:PTSD	female	1	NA	1	NA	1	NA	NA	NA
ADHD:PTSD	male	1	NA	1	1	NA	NA	NA	NA
ADHD:Parkinson's disease	female	2	1	1	NA	1	1	1	NA
ADHD:Parkinson's disease	male	2	1	1	1	NA	NA	NA	NA
ADHD:Right Putamen	female	1	NA	1	1	NA	NA	NA	NA
ADHD:Right Putamen	male	1	NA	1	NA	1	NA	NA	NA
ADHD:Risk-taking behaviour	male	1	NA	1	NA	1	NA	NA	NA
ADHD:Schizophrenia	male	5	1	4	2	2	3	2	1
ADHD:Snoring	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:TC	female	17	10	7	5	2	2	2	NA
ADHD:TC	male	17	7	10	8	2	NA	NA	NA
ADHD:Thyroid-stimulating hormone	female	3	NA	3	2	1	NA	NA	NA
ADHD:Thyroid-stimulating hormone	male	1	NA	1	1	NA	NA	NA	NA
ADHD:Type 2 diabetes	female	5	1	4	3	1	NA	NA	NA
ADHD:Type 2 diabetes	male	7	2	5	3	2	NA	NA	NA
ADHD:Waist circumference	female	2	NA	2	NA	2	NA	NA	NA
ADHD:Waist circumference	male	5	NA	5	4	1	NA	NA	NA
ADHD:Waist circumference (adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:Waist circumference (adjBMI)	male	4	2	2	2	NA	NA	NA	NA
ADHD:Waist-hip ratio	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:Waist-hip ratio (<= 50 yrs, adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:Waist-hip ratio (adjBMI)	female	1	1	NA	NA	NA	NA	NA	NA
ADHD:Weight	female	2	NA	2	1	1	NA	NA	NA
ADHD:Weight	male	1	1	NA	NA	NA	NA	NA	NA
ADHD:logTG	female	5	1	4	3	1	1	1	NA
ADHD:logTG	male	20	9	11	5	6	NA	NA	NA
ADHD:nonHDL	female	11	4	7	5	2	2	1	1
ADHD:nonHDL	male	17	10	7	3	4	NA	NA	NA
Age at first birth:Body Mass Index	female	8	6	2	1	1	1	1	NA
Age at first birth:Body Mass Index	male	3	3	NA	NA	NA	NA	NA	NA
Age at first birth:Cardiovascular disease	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Cardiovascular disease	male	3	1	2	NA	2	NA	NA	NA
Age at first birth:Educational attainment	female	6	NA	6	4	2	4	2	2
Age at first birth:Educational attainment	male	1	NA	1	NA	1	NA	NA	NA
Age at first birth:Fasting glucose	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Fasting glucose	male	2	1	1	NA	1	NA	NA	NA
Age at first birth:Fasting insulin	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Free thyroxine (FT4)	male	1	NA	1	1	NA	NA	NA	NA
Age at first birth:Glycine level	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Glycine level	male	4	4	NA	NA	NA	NA	NA	NA
Age at first birth:Grip strength measurement/ Muscle weakness	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:HDL	female	15	11	4	3	1	2	2	NA
Age at first birth:HDL	male	6	3	3	1	2	1	1	NA
Age at first birth:Height	female	8	3	5	4	1	NA	NA	NA
Age at first birth:Height	male	1	NA	1	NA	1	NA	NA	NA
Age at first birth:Hip circumference	female	3	3	NA	NA	NA	NA	NA	NA
Age at first birth:Hip circumference (adjBMI)	female	4	1	3	3	NA	NA	NA	NA
Age at first birth:Hip circumference (adjBMI)	male	3	2	1	NA	1	NA	NA	NA
Age at first birth:Insomnia	female	2	2	NA	NA	NA	NA	NA	NA
Age at first birth:LDL	female	14	7	7	3	4	NA	NA	NA
Age at first birth:LDL	male	12	5	7	4	3	NA	NA	NA
Age at first birth:Left Putamen	female	2	2	NA	NA	NA	NA	NA	NA
Age at first birth:Left Putamen	male	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Multisite chronic pain	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Multisite chronic pain	male	1	1	NA	NA	NA	1	1	NA
Age at first birth:Number of children ever born	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:PTSD	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Parkinson's disease	female	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Pubertal growth	female	1	NA	1	1	NA	NA	NA	NA
Age at first birth:Right Putamen	female	2	2	NA	NA	NA	NA	NA	NA
Age at first birth:Right Putamen	male	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Risk-taking behaviour	female	1	1	NA	NA	NA	1	1	NA
Age at first birth:Risk-taking behaviour	male	1	1	NA	NA	NA	NA	NA	NA
Age at first birth:Schizophrenia	female	3	2	1	1	NA	NA	NA	NA
Age at first birth:Schizophrenia	male	1	1	NA	NA	NA	1	1	NA
Age at first birth:Snoring	female	2	2	NA	NA	NA	NA	NA	NA
Age at first birth:Spelling	male	1	NA	1	NA	1	NA	NA	NA
Age at first birth:TC	female	17	9	8	3	5	1	1	NA
Age at first birth:TC	male	9	5	4	2	2	NA	NA	NA
Age at first birth:Thyroid-stimulating hormone	female	3	2	1	NA	1	NA	NA	NA
Age at first birth:Thyroid-stimulating hormone	male	3	1	2	NA	2	NA	NA	NA
Age at first birth:Type 2 diabetes	female	3	2	1	1	NA	NA	NA	NA
