"domain_pair"	"sex"	"ratio_coloc"	"ratio_coloc_avg_mf"
"Antropometric:Antropometric"	"female"	0.367825979267935	0.395971224186125
"Antropometric:Antropometric"	"male"	0.424549472872288	0.395971224186125
"Behavioural:Fertility"	"female"	0.416666666666667	0.296296296296296
"Behavioural:Fertility"	"male"	0.2	0.296296296296296
"Metabolic:Metabolic"	"female"	0.275758087521992	0.285565557753615
"Metabolic:Metabolic"	"male"	0.295595925035956	0.285565557753615
"Anatomical:Anatomical"	"female"	0.3004662004662	0.283405483405483
"Anatomical:Anatomical"	"male"	0.255681818181818	0.283405483405483
"Behavioural:Behavioural"	"female"	0.0666666666666667	0.270833333333333
"Behavioural:Behavioural"	"male"	0.611111111111111	0.270833333333333
"Anatomical:Trait"	"female"	0.375	0.25
"Anatomical:Trait"	"male"	0.125	0.25
"Condition:Trait"	"female"	0.233333333333333	0.238888888888889
"Condition:Trait"	"male"	0.25	0.238888888888889
"Condition:Disease"	"female"	0.15	0.227029822029822
"Condition:Disease"	"male"	0.315063904349619	0.227029822029822
"Antropometric:Trait"	"female"	0.205072463768116	0.19573216638434
"Antropometric:Trait"	"male"	0.18452380952381	0.19573216638434
"Anatomical:Condition"	"female"	0.183333333333333	0.191176470588235
"Anatomical:Condition"	"male"	0.202380952380952	0.191176470588235
"Disease:Trait"	"female"	0.103030303030303	0.184223184223184
"Disease:Trait"	"male"	0.285714285714286	0.184223184223184
"Antropometric:Metabolic"	"female"	0.195768690762656	0.183758210792868
"Antropometric:Metabolic"	"male"	0.170997075824969	0.183758210792868
"Condition:Fertility"	"female"	0	0.166666666666667
"Condition:Fertility"	"male"	0.5	0.166666666666667
"Behavioural:Condition"	"female"	0.260582010582011	0.155079365079365
"Behavioural:Condition"	"male"	0.0576923076923077	0.155079365079365
"Disease:Disease"	"female"	0.117391304347826	0.138537549407115
"Disease:Disease"	"male"	0.159683794466403	0.138537549407115
"Disease:Fertility"	"female"	0	0.133928571428571
"Disease:Fertility"	"male"	0.267857142857143	0.133928571428571
"Antropometric:Developmental"	"female"	0.185714285714286	0.131309523809524
"Antropometric:Developmental"	"male"	0.0648148148148148	0.131309523809524
"Antropometric:Condition"	"female"	0.135368493295323	0.125474525474525
"Antropometric:Condition"	"male"	0.11451093951094	0.125474525474525
"Anatomical:Disease"	"female"	0.0755411255411255	0.123525230987918
"Anatomical:Disease"	"male"	0.170098039215686	0.123525230987918
"Antropometric:Disease"	"female"	0.135122644962462	0.119200167396732
"Antropometric:Disease"	"male"	0.101601639560925	0.119200167396732
"Disease:Metabolic"	"female"	0.120913030038365	0.115950911386485
"Disease:Metabolic"	"male"	0.111119374804391	0.115950911386485
"Condition:Condition"	"female"	0.0833333333333333	0.0909090909090909
"Condition:Condition"	"male"	0.1	0.0909090909090909
"Condition:Metabolic"	"female"	0.0694314325346447	0.087996163267781
"Condition:Metabolic"	"male"	0.106059144521643	0.087996163267781
"Behavioural:Disease"	"female"	0.103870137798709	0.0800773300773301
"Behavioural:Disease"	"male"	0.0571049640015157	0.0800773300773301
"Antropometric:Behavioural"	"female"	0.105629017447199	0.0778089162299689
"Antropometric:Behavioural"	"male"	0.0395562770562771	0.0778089162299689
"Metabolic:Trait"	"female"	0.0946695715323166	0.0766172847241137
"Metabolic:Trait"	"male"	0.0585649979159107	0.0766172847241137
"Anatomical:Behavioural"	"female"	0.138095238095238	0.0736507936507936
"Anatomical:Behavioural"	"male"	0	0.0736507936507936
"Behavioural:Metabolic"	"female"	0.0609154273126183	0.045500009602983
"Behavioural:Metabolic"	"male"	0.0300845918933477	0.045500009602983
"Behavioural:Trait"	"female"	0.05	0.0416666666666667
"Behavioural:Trait"	"male"	0	0.0416666666666667
"Anatomical:Antropometric"	"female"	0.0550637156270959	0.0396258503401361
"Anatomical:Antropometric"	"male"	0.0196969696969697	0.0396258503401361
"Anatomical:Metabolic"	"female"	0.0348375805265728	0.0323787029896484
"Anatomical:Metabolic"	"male"	0.0298378628681598	0.0323787029896484
"Fertility:Metabolic"	"female"	0.0106753812636166	0.0128495034377387
"Fertility:Metabolic"	"male"	0.0151515151515152	0.0128495034377387
"Antropometric:Fertility"	"female"	0.01625	0.00984848484848485
"Antropometric:Fertility"	"male"	0	0.00984848484848485
"Anatomical:Fertility"	"female"	0	0
"Anatomical:Fertility"	"male"	0	0
"Condition:Developmental"	"female"	0	0
"Developmental:Disease"	"female"	0	0
"Developmental:Disease"	"male"	0	0
"Developmental:Fertility"	"female"	0	0
"Developmental:Metabolic"	"female"	0	0
"Developmental:Metabolic"	"male"	0	0
"Developmental:Trait"	"female"	0	0
"Fertility:Fertility"	"female"	0	0
"Fertility:Trait"	"female"	0	0
