CODE SHARED_GW CON DIS
100m:126m:127f:99f 21 21 0
100m:144m:145f:99f 41 41 0
100m:157m:159f:99f 8 8 0
100m:163m:165f:99f 8 8 0
100m:l2m:99f:l2f 31 31 0
100m:l3m:99f:l3f 12 12 0
100m:l5m:99f:l5f 9 9 0
126m:136m:127f:137f 105 105 0
126m:144m:127f:145f 74 74 0
126m:151m:127f:153f 21 21 0
126m:152m:127f:154f 16 16 0
126m:157m:127f:159f 149 149 0
126m:163m:127f:165f 583 583 0
126m:169m:127f:171f 40 40 0
126m:175m:127f:177f 189 189 0
126m:181m:127f:183f 54 54 0
126m:187m:127f:189f 66 66 0
126m:4370m:127f:4371f 7 7 0
126m:4373m:127f:4374f 5 5 0
126m:97m:127f:96f 167 167 0
126m:a13m:127f:a13f 21 21 0
126m:a1m:127f:a1f 1 1 0
126m:a21m:127f:a21f 91 91 0
126m:a22m:127f:a22f 20 20 0
126m:a29m:127f:a29f 44 44 0
126m:a30m:127f:a30f 58 58 0
126m:a7m:127f:a7f 88 88 0
126m:a8m:127f:a8f 191 191 0
126m:a9m:127f:a9f 2 2 0
126m:bm1m:127f:bm1f 6 6 0
126m:bm6m:127f:bm6f 43 43 0
126m:l1m:127f:l1f 222 222 0
126m:l2m:127f:l2f 375 375 0
126m:l3m:127f:l3f 427 427 0
126m:l4m:127f:l4f 387 387 0
126m:l5m:127f:l5f 524 524 0
126m:r9m:127f:r9f 2 2 0
136m:144m:137f:145f 74 74 0
136m:157m:137f:159f 144 144 0
136m:163m:137f:165f 57 57 0
136m:169m:137f:171f 101 101 0
136m:175m:137f:177f 14 14 0
136m:181m:137f:183f 45 45 0
136m:187m:137f:189f 5 5 0
136m:4212m:137f:4213f 1 0 1
136m:4373m:137f:4374f 33 33 0
136m:97m:137f:96f 20 20 0
136m:a13m:137f:a13f 15 15 0
136m:a21m:137f:a21f 51 51 0
136m:a22m:137f:a22f 13 13 0
136m:a27m:137f:a27f 1 1 0
136m:a30m:137f:a30f 38 38 0
136m:a8m:137f:a8f 290 290 0
136m:bm6m:137f:bm6f 3 3 0
136m:l1m:137f:l1f 201 201 0
136m:l2m:137f:l2f 233 233 0
136m:l3m:137f:l3f 235 235 0
136m:l4m:137f:l4f 314 314 0
136m:l5m:137f:l5f 138 138 0
136m:r8m:137f:r8f 13 13 0
144m:157m:145f:159f 136 136 0
144m:163m:145f:165f 23 23 0
144m:169m:145f:171f 117 117 0
144m:175m:145f:177f 20 20 0
144m:181m:145f:183f 7 7 0
144m:187m:145f:189f 3 3 0
144m:4370m:145f:4371f 11 11 0
144m:4373m:145f:4374f 35 35 0
144m:49m:145f:48f 3 3 0
144m:97m:145f:96f 1 1 0
144m:a13m:145f:a13f 18 18 0
144m:a21m:145f:a21f 1 1 0
144m:a22m:145f:a22f 56 56 0
144m:a27m:145f:a27f 5 5 0
144m:a29m:145f:a29f 5 5 0
144m:a30m:145f:a30f 63 63 0
144m:a7m:145f:a7f 12 12 0
144m:a8m:145f:a8f 116 116 0
144m:bm2m:145f:bm2f 2 0 2
144m:bm5m:145f:bm5f 36 36 0
144m:bm6m:145f:bm6f 14 14 0
144m:bm7m:145f:bm7f 23 23 0
144m:l1m:145f:l1f 208 208 0
144m:l2m:145f:l2f 16 16 0
144m:l3m:145f:l3f 103 103 0
144m:l4m:145f:l4f 203 203 0
144m:l5m:145f:l5f 35 35 0
144m:r10m:145f:r10f 5 5 0
144m:r5m:145f:r5f 32 32 0
144m:r8m:145f:r8f 8 8 0
144m:r9m:145f:r9f 8 8 0
151m:152m:153f:154f 46 46 0
151m:163m:153f:165f 33 33 0
151m:169m:153f:171f 1 1 0
151m:175m:153f:177f 28 28 0
151m:181m:153f:183f 14 14 0
151m:4370m:153f:4371f 4 4 0
151m:a8m:153f:a8f 2 2 0
151m:l2m:153f:l2f 10 10 0
151m:l3m:153f:l3f 3 3 0
151m:l4m:153f:l4f 28 28 0
151m:l5m:153f:l5f 15 15 0
151m:r5m:153f:r5f 1 1 0
152m:169m:154f:171f 12 12 0
152m:175m:154f:177f 33 33 0
152m:181m:154f:183f 31 31 0
152m:187m:154f:189f 3 3 0
152m:l3m:154f:l3f 5 5 0
152m:l4m:154f:l4f 1 1 0
152m:l5m:154f:l5f 3 3 0
157m:163m:159f:165f 6 6 0
157m:169m:159f:171f 82 82 0
157m:175m:159f:177f 63 51 12
157m:181m:159f:183f 43 43 0
157m:187m:159f:189f 6 6 0
157m:4370m:159f:4371f 13 13 0
157m:4373m:159f:4374f 42 42 0
157m:97m:159f:96f 16 16 0
157m:a13m:159f:a13f 18 18 0
157m:a21m:159f:a21f 23 23 0
157m:a22m:159f:a22f 42 42 0
157m:a27m:159f:a27f 5 5 0
157m:a28m:159f:a28f 7 7 0
157m:a30m:159f:a30f 16 16 0
157m:a7m:159f:a7f 19 19 0
157m:a8m:159f:a8f 132 132 0
157m:bm5m:159f:bm5f 22 22 0
157m:bm6m:159f:bm6f 16 16 0
157m:bm7m:159f:bm7f 16 16 0
157m:l1m:159f:l1f 151 151 0
157m:l2m:159f:l2f 156 156 0
157m:l3m:159f:l3f 103 103 0
157m:l4m:159f:l4f 174 174 0
157m:l5m:159f:l5f 162 162 0
157m:r8m:159f:r8f 6 6 0
163m:169m:165f:171f 1 1 0
163m:175m:165f:177f 177 176 1
163m:181m:165f:183f 7 7 0
163m:187m:165f:189f 56 56 0
163m:4370m:165f:4371f 11 11 0
163m:97m:165f:96f 65 65 0
163m:a13m:165f:a13f 4 4 0
163m:a21m:165f:a21f 74 74 0
163m:a22m:165f:a22f 3 3 0
163m:a8m:165f:a8f 43 43 0
163m:a9m:165f:a9f 1 1 0
163m:bm1m:165f:bm1f 4 4 0
163m:bm4m:165f:bm4f 1 1 0
163m:bm5m:165f:bm5f 17 17 0
163m:bm6m:165f:bm6f 29 29 0
163m:bm7m:165f:bm7f 5 5 0
163m:l1m:165f:l1f 101 101 0
163m:l2m:165f:l2f 239 239 0
163m:l3m:165f:l3f 122 122 0
163m:l4m:165f:l4f 147 147 0
163m:l5m:165f:l5f 292 292 0
163m:r8m:165f:r8f 1 1 0
169m:181m:171f:183f 7 7 0
169m:187m:171f:189f 1 1 0
169m:4370m:171f:4371f 16 16 0
169m:4373m:171f:4374f 15 15 0
169m:97m:171f:96f 14 14 0
169m:a13m:171f:a13f 1 1 0
169m:a21m:171f:a21f 7 7 0
169m:a22m:171f:a22f 41 41 0
169m:a27m:171f:a27f 4 4 0
169m:a30m:171f:a30f 31 31 0
169m:a7m:171f:a7f 11 11 0
169m:a8m:171f:a8f 64 64 0
169m:ADr1um:171f:ADr1uf 1 1 0
169m:bm5m:171f:bm5f 35 35 0
169m:bm6m:171f:bm6f 14 14 0
169m:bm7m:171f:bm7f 23 23 0
169m:l1m:171f:l1f 77 77 0
169m:l2m:171f:l2f 16 16 0
169m:l3m:171f:l3f 27 27 0
169m:l4m:171f:l4f 82 82 0
169m:l5m:171f:l5f 20 20 0
169m:r8m:171f:r8f 1 1 0
175m:181m:177f:183f 40 40 0
175m:187m:177f:189f 78 78 0
175m:97m:177f:96f 85 85 0
175m:a21m:177f:a21f 13 13 0
175m:a22m:177f:a22f 1 1 0
175m:a30m:177f:a30f 1 1 0
175m:a7m:177f:a7f 1 0 1
175m:a8m:177f:a8f 49 44 5
175m:bm6m:177f:bm6f 4 4 0
175m:l1m:177f:l1f 24 11 13
175m:l2m:177f:l2f 25 25 0
175m:l3m:177f:l3f 32 30 2
175m:l4m:177f:l4f 23 16 7
175m:l5m:177f:l5f 14 8 6
181m:187m:183f:189f 156 156 0
181m:4370m:183f:4371f 2 2 0
181m:4373m:183f:4374f 1 1 0
181m:a13m:183f:a13f 2 2 0
181m:a22m:183f:a22f 12 12 0
181m:a28m:183f:a28f 9 9 0
181m:a8m:183f:a8f 16 16 0
181m:bm6m:183f:bm6f 6 6 0
181m:bm7m:183f:bm7f 7 7 0
181m:l1m:183f:l1f 10 10 0
181m:l2m:183f:l2f 21 21 0
181m:l3m:183f:l3f 4 4 0
181m:l4m:183f:l4f 18 17 1
181m:l5m:183f:l5f 4 4 0
187m:a7m:189f:a7f 1 1 0
187m:a8m:189f:a8f 5 5 0
187m:l1m:189f:l1f 20 20 0
187m:l2m:189f:l2f 15 15 0
187m:l3m:189f:l3f 3 3 0
187m:l4m:189f:l4f 51 51 0
187m:l5m:189f:l5f 13 13 0
187m:r5m:189f:r5f 1 1 0
4212m:4370m:4213f:4371f 26 26 0
4212m:a27m:4213f:a27f 3 3 0
4212m:a28m:4213f:a28f 3 3 0
4212m:a7m:4213f:a7f 1 1 0
4212m:a8m:4213f:a8f 2 2 0
4212m:l1m:4213f:l1f 7 7 0
4212m:l2m:4213f:l2f 9 9 0
4212m:l3m:4213f:l3f 13 13 0
4212m:l4m:4213f:l4f 32 32 0
4212m:l5m:4213f:l5f 39 39 0
4370m:4373m:4371f:4374f 193 193 0
4370m:52m:4371f:51f 4 4 0
4370m:a13m:4371f:a13f 7 7 0
4370m:a27m:4371f:a27f 9 9 0
4370m:a7m:4371f:a7f 2 2 0
4370m:a8m:4371f:a8f 111 111 0
4370m:bm5m:4371f:bm5f 16 16 0
4370m:bm6m:4371f:bm6f 2 2 0
4370m:bm7m:4371f:bm7f 2 2 0
4370m:l1m:4371f:l1f 45 45 0
4370m:l2m:4371f:l2f 194 194 0
4370m:l3m:4371f:l3f 185 185 0
4370m:l4m:4371f:l4f 71 71 0
4370m:l5m:4371f:l5f 193 193 0
4370m:r5m:4371f:r5f 1 0 1
4373m:a21m:4374f:a21f 1 1 0
4373m:a7m:4374f:a7f 93 93 0
4373m:ch4m:4374f:ch4f 5 5 0
4373m:l1m:4374f:l1f 39 39 0
4373m:l2m:4374f:l2f 125 125 0
4373m:l3m:4374f:l3f 191 191 0
4373m:l4m:4374f:l4f 29 29 0
4373m:l5m:4374f:l5f 7 7 0
49m:a13m:48f:a13f 3 3 0
49m:a30m:48f:a30f 92 92 0
49m:l1m:48f:l1f 33 33 0
52m:a30m:51f:a30f 2 2 0
52m:l4m:51f:l4f 3 3 0
97m:a8m:96f:a8f 2 2 0
97m:l1m:96f:l1f 1 1 0
97m:l3m:96f:l3f 4 4 0
a13m:a27m:a13f:a27f 4 4 0
a13m:a28m:a13f:a28f 2 2 0
a13m:a29m:a13f:a29f 9 9 0
a13m:a30m:a13f:a30f 104 104 0
a13m:a8m:a13f:a8f 58 58 0
a13m:ADr1um:a13f:ADr1uf 10 10 0
a13m:bm5m:a13f:bm5f 1 1 0
a13m:ch6m:a13f:ch6f 1 1 0
a13m:l1m:a13f:l1f 249 249 0
a13m:l2m:a13f:l2f 560 560 0
a13m:l3m:a13f:l3f 318 318 0
a13m:l4m:a13f:l4f 234 234 0
a13m:l5m:a13f:l5f 306 306 0
a13m:r5m:a13f:r5f 20 20 0
a13m:r9m:a13f:r9f 11 11 0
a1m:l2m:a1f:l2f 8 8 0
a1m:l5m:a1f:l5f 222 222 0
a21m:a29m:a21f:a29f 5 5 0
a21m:a7m:a21f:a7f 21 21 0
a21m:a8m:a21f:a8f 26 26 0
a21m:l1m:a21f:l1f 58 58 0
a21m:l2m:a21f:l2f 11 11 0
a21m:l3m:a21f:l3f 84 84 0
a21m:l4m:a21f:l4f 21 21 0
a21m:l5m:a21f:l5f 121 121 0
a21m:r5m:a21f:r5f 4 4 0
a22m:a28m:a22f:a28f 3 3 0
a22m:a29m:a22f:a29f 1 1 0
a22m:a7m:a22f:a7f 46 46 0
a22m:a8m:a22f:a8f 87 87 0
a22m:bm7m:a22f:bm7f 4 4 0
a22m:l1m:a22f:l1f 27 27 0
a22m:l2m:a22f:l2f 168 168 0
a22m:l3m:a22f:l3f 107 107 0
a22m:l4m:a22f:l4f 165 165 0
a22m:l5m:a22f:l5f 141 141 0
a27m:a28m:a27f:a28f 28 28 0
a27m:a30m:a27f:a30f 1 1 0
a27m:a7m:a27f:a7f 4 4 0
a27m:a8m:a27f:a8f 119 119 0
a27m:bm2m:a27f:bm2f 4 4 0
a27m:l1m:a27f:l1f 12 12 0
a27m:l2m:a27f:l2f 161 161 0
a27m:l3m:a27f:l3f 53 53 0
a27m:l4m:a27f:l4f 81 81 0
a27m:l5m:a27f:l5f 90 90 0
a28m:a8m:a28f:a8f 18 18 0
a28m:l1m:a28f:l1f 16 16 0
a28m:l4m:a28f:l4f 31 31 0
a28m:l5m:a28f:l5f 10 10 0
a29m:a30m:a29f:a30f 99 99 0
a29m:a8m:a29f:a8f 39 39 0
a29m:bm6m:a29f:bm6f 462 462 0
a29m:bm7m:a29f:bm7f 191 191 0
a29m:l1m:a29f:l1f 13 13 0
a29m:l2m:a29f:l2f 107 107 0
a29m:l3m:a29f:l3f 147 147 0
a29m:l4m:a29f:l4f 36 36 0
a29m:l5m:a29f:l5f 555 555 0
a29m:r5m:a29f:r5f 4 4 0
a30m:a7m:a30f:a7f 11 11 0
a30m:a8m:a30f:a8f 35 35 0
a30m:a9m:a30f:a9f 23 23 0
a30m:bm6m:a30f:bm6f 77 77 0
a30m:bm7m:a30f:bm7f 74 74 0
a30m:l1m:a30f:l1f 450 450 0
a30m:l2m:a30f:l2f 11 11 0
a30m:l3m:a30f:l3f 180 180 0
a30m:l4m:a30f:l4f 322 322 0
a30m:l5m:a30f:l5f 27 27 0
a30m:r5m:a30f:r5f 2 2 0
a7m:a8m:a7f:a8f 110 110 0
a7m:a9m:a7f:a9f 1 1 0
a7m:ADr1um:a7f:ADr1uf 2 2 0
a7m:bm5m:a7f:bm5f 1 1 0
a7m:bm6m:a7f:bm6f 37 37 0
a7m:bm7m:a7f:bm7f 22 22 0
a7m:l1m:a7f:l1f 244 243 1
a7m:l2m:a7f:l2f 291 291 0
a7m:l3m:a7f:l3f 244 244 0
a7m:l4m:a7f:l4f 360 360 0
a7m:l5m:a7f:l5f 208 208 0
a7m:r4m:a7f:r4f 5 5 0
a7m:r5m:a7f:r5f 4 4 0
a8m:bm1m:a8f:bm1f 2 2 0
a8m:bm6m:a8f:bm6f 130 130 0
a8m:bm7m:a8f:bm7f 7 7 0
a8m:l1m:a8f:l1f 820 820 0
a8m:l2m:a8f:l2f 1003 1003 0
a8m:l3m:a8f:l3f 990 990 0
a8m:l4m:a8f:l4f 1710 1710 0
a8m:l5m:a8f:l5f 875 875 0
a8m:r5m:a8f:r5f 30 30 0
a9m:l1m:a9f:l1f 1 1 0
a9m:l2m:a9f:l2f 6 6 0
a9m:l3m:a9f:l3f 2 2 0
a9m:l4m:a9f:l4f 12 12 0
a9m:l5m:a9f:l5f 5 5 0
ADr1um:l1m:ADr1uf:l1f 53 53 0
ADr1um:l2m:ADr1uf:l2f 18 18 0
ADr1um:l3m:ADr1uf:l3f 44 44 0
ADr1um:l4m:ADr1uf:l4f 38 38 0
ADr1um:l5m:ADr1uf:l5f 29 29 0
ADr1um:r9m:ADr1uf:r9f 6 6 0
bm1m:l3m:bm1f:l3f 48 48 0
bm1m:l4m:bm1f:l4f 1 1 0
bm2m:bm8m:bm2f:bm8f 1 1 0
bm4m:l2m:bm4f:l2f 10 10 0
bm4m:l5m:bm4f:l5f 8 8 0
bm5m:bm6m:bm5f:bm6f 1022 1022 0
bm5m:bm7m:bm5f:bm7f 588 588 0
bm5m:l1m:bm5f:l1f 4 4 0
bm5m:l2m:bm5f:l2f 137 137 0
bm5m:l3m:bm5f:l3f 91 91 0
bm5m:l4m:bm5f:l4f 24 24 0
bm5m:l5m:bm5f:l5f 261 261 0
bm6m:bm7m:bm6f:bm7f 192 192 0
bm6m:l1m:bm6f:l1f 6 6 0
bm6m:l2m:bm6f:l2f 378 378 0
bm6m:l3m:bm6f:l3f 449 449 0
bm6m:l4m:bm6f:l4f 507 507 0
bm6m:l5m:bm6f:l5f 338 338 0
bm7m:l1m:bm7f:l1f 3 3 0
bm7m:l2m:bm7f:l2f 2 2 0
bm7m:l3m:bm7f:l3f 11 11 0
bm7m:l4m:bm7f:l4f 25 25 0
bm8m:l2m:bm8f:l2f 7 7 0
bm8m:l3m:bm8f:l3f 34 34 0
bm8m:l5m:bm8f:l5f 115 115 0
ch1m:l5m:ch1f:l5f 1 0 1
ch5m:l3m:ch5f:l3f 1 0 1
l1m:l2m:l1f:l2f 5009 4995 14
l1m:l3m:l1f:l3f 6654 6654 0
l1m:l4m:l1f:l4f 10412 10318 94
l1m:l5m:l1f:l5f 5717 5717 0
l1m:r5m:l1f:r5f 199 199 0
l2m:l3m:l2f:l3f 7840 7776 64
l2m:l4m:l2f:l4f 5934 5924 10
l2m:l5m:l2f:l5f 5634 5634 0
l2m:r5m:l2f:r5f 221 221 0
l2m:r9m:l2f:r9f 1 1 0
l3m:l4m:l3f:l4f 7210 7209 1
l3m:l5m:l3f:l5f 6160 6159 1
l3m:r4m:l3f:r4f 6 6 0
l3m:r5m:l3f:r5f 152 152 0
l4m:l5m:l4f:l5f 4736 4733 3
l4m:r4m:l4f:r4f 6 6 0
l4m:r5m:l4f:r5f 195 195 0
l4m:r8m:l4f:r8f 12 12 0
l5m:r10m:l5f:r10f 4 4 0
l5m:r4m:l5f:r4f 6 6 0
l5m:r5m:l5f:r5f 62 62 0
l5m:r8m:l5f:r8f 30 30 0
r5m:r8m:r5f:r8f 2 2 0
