trait_pair	male	female	shared
CC Central:Left 5m area	716	0	0
CC Central:HDL	0	390	0
CC Central:TC	0	345	0
LDL:Left 5m area	0	289	0
Left Caudate:logTG	267	0	0
Left MST area:Type 2 diabetes	111	0	0
Left 5m area:Type 2 diabetes	0	94	0
Left MST area:Schizophrenia	89	0	0
Height:Left MST area	0	52	0
Left 5m area:Left MST area	0	49	0
Educational attainment:Left MST area	0	29	0
Left Putamen:TC	0	21	0
LDL:Waist-hip ratio (adjBMI)	3	9	0
TC:Waist-hip ratio (adjBMI)	4	9	0
TC:Waist-hip ratio	2	8	0
HDL:Waist-hip ratio (adjBMI)	1	8	0
nonHDL:Thyroid-stimulating hormone	6	8	0
HDL:Hip circumference	4	7	0
Hip circumference:TC	2	7	0
Hip circumference (adjBMI):Waist circumference (adjBMI)	1	7	0
Hip circumference (adjBMI):Schizophrenia	7	2	0
LDL:Waist-hip ratio	1	7	0
nonHDL:Waist-hip ratio (adjBMI)	4	7	0
Hip circumference:LDL	2	6	0
nonHDL:Waist-hip ratio	1	6	0
HDL:Thyroid-stimulating hormone	4	6	0
logTG:Thyroid-stimulating hormone	6	4	0
Height:Waist-hip ratio	1	5	0
Hip circumference:logTG	3	5	0
Hip circumference (adjBMI):Type 2 diabetes	2	5	0
LDL:Waist circumference	1	5	0
TC:Waist circumference	2	5	0
Type 2 diabetes:Waist-hip ratio	1	5	0
Height:Waist circumference (adjBMI)	0	5	0
Hip circumference (adjBMI):Left MST area	0	5	0
Right Putamen:TC	0	5	0
Cardiovascular disease:Height	4	1	0
LDL:Waist-hip ratio (> 50 yrs, adjBMI)	1	4	0
TC:Waist-hip ratio (> 50 yrs, adjBMI)	1	4	0
Hip circumference:nonHDL	1	4	0
Hip circumference:Schizophrenia	4	2	0
nonHDL:Waist circumference	1	4	0
Waist circumference (adjBMI):Waist-hip ratio (adjBMI)	4	2	0
logTG:Waist-hip ratio (adjBMI)	3	4	0
HDL:Waist-hip ratio (> 50 yrs, adjBMI)	0	4	0
Cardiovascular disease:Hip circumference (adjBMI)	4	0	0
HDL:Waist-hip ratio	0	4	0
Grip strength measurement/ Muscle weakness:LDL	0	4	0
Grip strength measurement/ Muscle weakness:TC	0	4	0
Grip strength measurement/ Muscle weakness:logTG	0	4	0
Grip strength measurement/ Muscle weakness:nonHDL	0	4	0
Fasting glucose:Schizophrenia	4	0	0
LDL:Weight	3	1	0
nonHDL:Waist-hip ratio (> 50 yrs, adjBMI)	2	3	0
Hip circumference (adjBMI):Waist-hip ratio (adjBMI)	1	3	0
Schizophrenia:Waist circumference (adjBMI)	2	3	0
Educational attainment:Type 2 diabetes	1	3	0
Parkinson's disease:Schizophrenia	1	3	0
TC:Weight	3	0	0
Body Mass Index:Educational attainment	0	3	0
Educational attainment:Hip circumference	0	3	0
Cardiovascular disease:Waist circumference (adjBMI)	3	0	0
Schizophrenia:Thyroid-stimulating hormone	3	0	0
Insomnia:LDL	0	3	0
Insomnia:nonHDL	0	3	0
Grip strength measurement/ Muscle weakness:HDL	0	3	0
Fasting insulin:nonHDL	0	3	0
Body Mass Index:Height	2	2	0
Height:Snoring	1	2	0
Body Mass Index:Waist circumference (adjBMI)	2	1	0
LDL:Waist-hip ratio (<= 50 yrs, adjBMI)	1	2	0
Hip circumference:Waist circumference (adjBMI)	1	2	0
logTG:Waist-hip ratio	1	2	0
Fasting glucose:Thyroid-stimulating hormone	2	1	0
Thyroid-stimulating hormone:Type 2 diabetes	2	2	0
Free thyroxine (FT4):HDL	2	2	0
