pair shared single distinct
126m:136m 1 0 1
126m:144m 2 0 2
126m:151m 1 0 1
126m:152m 1 0 1
126m:181m 1 0 1
126m:187m 2 0 2
126m:4370m 1 0 1
126m:4373m 2 0 2
126m:a13m 4 0 4
126m:a22m 1 0 1
126m:a8m 11 0 11
126m:a9m 1 0 1
126m:l1m 20 0 20
126m:l2m 14 0 14
126m:l3m 18 0 18
126m:l4m 16 0 16
126m:l5m 10 0 10
126m:r5m 8 0 8
127f:145f 2 0 2
127f:153f 6 0 6
127f:154f 3 0 3
127f:159f 1 0 1
127f:165f 1 0 1
127f:177f 5 0 5
127f:183f 5 0 5
127f:189f 7 0 7
127f:4371f 1 0 1
127f:4374f 2 0 2
127f:a13f 1 0 1
127f:a22f 2 0 2
127f:a27f 2 0 2
127f:a29f 1 0 1
127f:a8f 12 0 12
127f:bm2f 2 0 2
127f:bm4f 52 0 52
127f:l1f 23 0 23
127f:l2f 19 0 19
127f:l3f 24 0 24
127f:l4f 19 0 19
127f:l5f 23 0 23
127f:r5f 3 0 3
136m:151m 1 0 1
136m:152m 1 0 1
136m:181m 1 0 1
136m:187m 1 0 1
136m:a22m 1 0 1
136m:a30m 1 0 1
136m:a8m 1 0 1
136m:l1m 4 0 4
136m:l2m 3 0 3
136m:l3m 3 0 3
136m:l4m 3 0 3
136m:l5m 2 0 2
136m:r5m 1 0 1
137f:99f 1 0 1
137f:a27f 1 0 1
137f:a30f 1 0 1
137f:l1f 2 0 2
137f:l2f 1 0 1
137f:l4f 2 0 2
137f:r8f 1 0 1
144m:175m 2 0 2
144m:4212m 2 0 2
144m:4370m 1 0 1
144m:a13m 1 0 1
144m:a1m 1 0 1
144m:a27m 2 0 2
144m:a8m 2 0 2
144m:l1m 8 0 8
144m:l2m 7 0 7
144m:l3m 8 0 8
144m:l4m 9 0 9
144m:l5m 6 0 6
144m:r5m 7 0 7
145f:165f 2 0 2
145f:177f 1 0 1
145f:96f 2 0 2
145f:99f 1 0 1
145f:a27f 4 0 4
145f:a29f 1 0 1
145f:a30f 3 0 3
145f:a8f 1 0 1
145f:a9f 1 0 1
145f:l1f 6 0 6
145f:l2f 6 0 6
145f:l3f 8 0 8
145f:l4f 9 0 9
145f:l5f 5 0 5
145f:r5f 1 0 1
145f:r8f 1 0 1
151m:a29m 1 0 1
151m:a8m 1 0 1
151m:l2m 1 0 1
151m:l3m 1 0 1
151m:l5m 2 0 2
152m:163m 1 0 1
152m:a29m 1 0 1
152m:a8m 1 0 1
152m:l2m 1 0 1
152m:l3m 1 0 1
152m:l4m 1 0 1
152m:l5m 1 0 1
153f:165f 1 0 1
153f:4213f 2 0 2
153f:4371f 1 0 1
153f:a30f 1 0 1
153f:a8f 3 0 3
153f:l1f 4 0 4
153f:l2f 4 0 4
