CODE NOM_CON_SNPS NOM_CON_SNPS_EMP_P NOM_VERBOSE MARG_CON_SNPS MARG_CON_SNPS_EMP_P MARG_VERBOSE SMALLEST_CON_P_EMP_P
100m:126m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:136m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:144m 0 1 NOT 0 1 NOT 0.997
100m:151m 0 1 NOT 0 1 NOT 0.821
100m:152m 29 0.03 MORE 44 0.034 MORE 0.049
100m:157m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:169m 72 0.004 MORE 89 0.00699 MORE 0.021
100m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
100m:181m 0 1 NOT 0 1 NOT 0.997
100m:187m 0 1 NOT 0 1 NOT 0.897
100m:4370m 0 1 NOT 2 0.458 NOT 0.468
100m:4373m 1 0.348 NOT 1 0.498 NOT 0.233
100m:49m 2 0.263 NOT 18 0.132 NOT 0.306
100m:52m 72 0.004 MORE 85 0.00599 MORE 0.016
100m:97m 0 1 NOT 0 1 NOT 0.853
100m:a13m 0 1 NOT 0 1 NOT 0.936
100m:a1m 0 1 NOT 1 0.536 NOT 0.478
100m:a21m 0 1 NOT 0 1 NOT 0.994
100m:a22m 0 1 NOT 0 1 NOT 0.828
100m:a27m 90 0.979 NOT 102 0.979 NOT 0.979
100m:a28m 0 1 NOT 0 1 NOT 0.999
100m:a29m 23 0.047 MORE 74 0.013 MORE 0.11
100m:a30m 0 1 NOT 1 0.488 NOT 0.464
100m:a7m 0 1 NOT 0 1 NOT 0.601
100m:a8m 0 1 NOT 0 1 NOT 0.865
100m:a9m 0 1 NOT 0 1 NOT 0.694
100m:ADr1um 40 0.023 MORE 44 0.046 MORE 0.0939
100m:bm1m 11 0.101 NOT 30 0.0709 NOT 0.025
100m:bm2m 0 1 NOT 0 1 NOT 0.704
100m:bm4m 0 1 NOT 0 1 NOT 0.879
100m:bm5m 0 1 NOT 0 1 NOT 0.955
100m:bm6m 0 1 NOT 0 1 NOT 0.566
100m:bm7m 0 1 NOT 0 1 NOT 0.82
100m:bm8m 0 1 NOT 0 1 NOT 0.833
100m:ch1m 0 1 NOT 0 1 NOT 0.827
100m:ch4m 0 1 NOT 0 1 NOT 0.674
100m:ch5m 0 1 NOT 0 1 NOT 0.952
100m:ch6m 0 1 NOT 0 1 NOT 0.736
100m:l1m 22 0.05 MORE 51 0.037 MORE 0.0779
100m:l2m 0 1 NOT 0 1 NOT 0.66
100m:l3m 0 1 NOT 0 1 NOT 0.94
100m:l4m 0 1 NOT 0 1 NOT 0.991
100m:l5m 0 1 NOT 6 0.253 NOT 0.363
100m:r10m 31 0.022 MORE 36 0.047 MORE 0.002
100m:r4m 0 1 NOT 0 1 NOT 0.926
100m:r5m 0 1 NOT 0 1 NOT 0.747
100m:r8m 0 1 NOT 0 1 NOT 0.765
100m:r9m 0 1 NOT 1 0.509 NOT 0.508
126m:136m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:144m 0 1 NOT 0 1 NOT 0.993
126m:151m 0 1 NOT 2 0.421 NOT 0.376
126m:152m 1 0.365 NOT 5 0.321 NOT 0.255
126m:157m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:163m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:169m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:175m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:181m 0 1 NOT 0 1 NOT 0.993
126m:187m 0 1 NOT 0 1 NOT 0.966
126m:4370m 0 1 NOT 0 1 NOT 0.678
126m:4373m 127 0.000999 MORE 138 0.000999 MORE 0.005
126m:49m 134 0.000999 MORE 137 0.000999 MORE 0.000999
126m:52m 0 1 NOT 0 1 NOT 0.643
126m:97m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:a13m 0 1 NOT 0 1 NOT 0.996
126m:a1m 0 1 NOT 0 1 NOT 0.902
126m:a21m 0 1 NOT 0 1 NOT 0.987
126m:a22m 0 1 NOT 0 1 NOT 0.993
126m:a27m 0 1 NOT 0 1 NOT 0.712
126m:a28m 3 0.99 NOT 8 0.99 NOT 0.99
126m:a29m 0 1 NOT 0 1 NOT 0.997
126m:a30m 144 0.000999 MORE 144 0.000999 MORE 0.000999
126m:a7m 14 0.0679 NOT 36 0.0539 NOT 0.17
126m:a8m 0 1 NOT 0 1 NOT 0.977
126m:a9m 1 0.283 NOT 6 0.209 NOT 0.28
126m:ADr1um 0 1 NOT 0 1 NOT 0.998
126m:bm1m 3 0.219 NOT 8 0.224 NOT 0.272
126m:bm2m 0 1 NOT 0 1 NOT 0.941
126m:bm4m 0 1 NOT 0 1 NOT 0.53
126m:bm5m 0 1 NOT 0 1 NOT 0.718
126m:bm6m 0 1 NOT 0 1 NOT 0.957
126m:bm7m 0 1 NOT 0 1 NOT 0.883
126m:bm8m 13 0.0829 NOT 32 0.0639 NOT 0.153
126m:ch1m 10 0.107 NOT 24 0.104 NOT 0.149
126m:ch4m 4 0.22 NOT 7 0.28 NOT 0.149
126m:ch5m 13 0.0839 NOT 43 0.041 MORE 0.0989
126m:l1m 0 1 NOT 0 1 NOT 0.99
126m:l2m 0 1 NOT 0 1 NOT 0.995
126m:l3m 0 1 NOT 0 1 NOT 0.986
126m:l4m 0 1 NOT 0 1 NOT 0.988
126m:l5m 0 1 NOT 0 1 NOT 0.994
126m:r10m 0 1 NOT 0 1 NOT 0.663
126m:r4m 0 1 NOT 0 1 NOT 0.977
126m:r5m 0 1 NOT 0 1 NOT 0.809
126m:r8m 0 1 NOT 0 1 NOT 0.989
126m:r9m 51 0.015 MORE 88 0.00799 MORE 0.004
127f:137f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:145f 0 1 NOT 0 1 NOT 0.997
127f:153f 23 0.041 MORE 39 0.048 MORE 0.0999
127f:154f 111 0.000999 MORE 117 0.002 MORE 0.000999
127f:159f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:165f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:171f 144 0.000999 MORE 144 0.000999 MORE 0.000999
127f:177f 144 0.000999 MORE 144 0.000999 MORE 0.000999
