CODE NOM_NUM_PLEIO_SUBSETS NOM_NUM_PLEIO_SUBSETS_EMP_P NOM_VERBOSE MARG_NUM_PLEIO_SUBSETS MARG_NUM_PLEIO_SUBSETS_EMP_P MARG_VERBOSE SMALLEST_PLEIO_P_EMP_P
100m:126m 32 0.000999 MORE 38 0.000999 MORE 0.000999
100m:136m 5 0.02 MORE 8 0.023 MORE 0.004
100m:144m 10 0.002 MORE 14 0.002 MORE 0.016
100m:151m 4 0.029 MORE 5 0.0609 NOT 0.00899
100m:152m 1 0.196 NOT 3 0.128 NOT 0.177
100m:157m 1 0.19 NOT 4 0.0869 NOT 0.164
100m:163m 23 0.000999 MORE 28 0.000999 MORE 0.000999
100m:169m 0 1 NOT 1 0.363 NOT 0.344
100m:175m 15 0.000999 MORE 20 0.000999 MORE 0.000999
100m:181m 5 0.019 MORE 7 0.029 MORE 0.0989
100m:187m 1 0.209 NOT 3 0.15 NOT 0.128
100m:4370m 1 0.195 NOT 2 0.204 NOT 0.00899
100m:4373m 0 1 NOT 1 0.374 NOT 0.349
100m:49m 10 0.003 MORE 16 0.003 MORE 0.00699
100m:52m 5 0.00699 MORE 10 0.00899 MORE 0.005
100m:97m 0 1 NOT 0 1 NOT 0.73
100m:a13m 1 0.197 NOT 1 0.365 NOT 0.167
100m:a1m 0 1 NOT 0 1 NOT 0.561
100m:a21m 3 0.041 MORE 3 0.126 NOT 0.00799
100m:a22m 1 0.179 NOT 6 0.037 MORE 0.046
100m:a27m 0 1 NOT 2 0.987 NOT 0.986
100m:a28m 6 0.995 NOT 15 0.995 NOT 0.996
100m:a29m 0 1 NOT 0 1 NOT 0.961
100m:a30m 3 0.048 MORE 4 0.0899 NOT 0.123
100m:a7m 0 1 NOT 0 1 NOT 0.652
100m:a8m 0 1 NOT 1 0.332 NOT 0.265
100m:a9m 1 0.199 NOT 2 0.208 NOT 0.187
100m:ADr1um 1 0.202 NOT 1 0.37 NOT 0.173
100m:bm1m 0 1 NOT 0 1 NOT 0.596
100m:bm2m 0 1 NOT 0 1 NOT 0.633
100m:bm4m 0 1 NOT 0 1 NOT 0.997
100m:bm5m 0 1 NOT 0 1 NOT 0.36
100m:bm6m 3 0.049 MORE 6 0.042 MORE 0.0599
100m:bm7m 5 0.016 MORE 5 0.0589 NOT 0.0989
