Trait	Overall Total	Overall Same Direction	Overall Opposite Direction	PDIFF Total	PDIFF Same Direction	PDIFF Opposite Direction	POVERALL-PDIFF Total	POVERALL-PDIFF Same Direction	POVERALL-PDIFF Opposite Direction
Type 2 diabetes	34	34	0	9	9	0	25	25	0
Body Mass Index	20	20	0	5	5	0	15	15	0
Height	18	18	0	2	2	0	16	16	0
Waist-hip ratio (adjBMI)	16	12	4	4	3	1	12	9	3
Waist circumference (adjBMI)	13	7	6	6	0	6	7	7	0
Waist-hip ratio	11	5	6	5	1	4	6	4	2
Schizophrenia	11	10	1	1	1	0	10	9	1
Weight	9	9	0	1	1	0	8	8	0
Hip circumference	9	9	0	1	1	0	8	8	0
Educational attainment	9	9	0	9	9	0	NA	NA	NA
Hip circumference (adjBMI)	8	7	1	2	1	1	6	6	0
Waist-hip ratio (> 50 yrs, adjBMI)	7	6	1	2	1	1	5	5	0
Waist circumference	7	6	1	1	1	0	6	5	1
Cardiovascular disease	7	7	0	2	2	0	5	5	0
Waist-hip ratio (<= 50 yrs, adjBMI)	5	3	2	2	0	2	3	3	0
Glycine level	3	3	0	1	1	0	2	2	0
Fasting insulin	3	0	3	2	0	2	1	0	1
Carotid intima-media thickness	3	1	2	2	0	2	1	1	0
Tanner scale	2	2	0	2	2	0	NA	NA	NA
Thyroid-stimulating hormone	2	2	0	1	1	0	1	1	0
Free thyroxine (FT4)	2	2	0	2	2	0	NA	NA	NA
Grip strength measurement/ Muscle weakness	2	2	0	1	1	0	1	1	0
Multisite chronic pain	2	2	0	2	2	0	NA	NA	NA
Parkinson's disease	2	2	0	2	2	0	NA	NA	NA
Word reading	2	2	0	2	2	0	NA	NA	NA
Age at first birth	1	1	0	1	1	0	NA	NA	NA
Insomnia	1	1	0	1	1	0	NA	NA	NA
Fasting glucose	1	0	1	1	0	1	NA	NA	NA
Left PoI GM thikness	1	0	1	1	0	1	NA	NA	NA
Left Putamen	1	1	0	1	1	0	NA	NA	NA
Right Putamen	1	1	0	1	1	0	NA	NA	NA
PTSD	1	1	0	1	1	0	NA	NA	NA
COVID19 Hospitalization (A1HOSP)	1	1	0	1	1	0	NA	NA	NA
Risk-taking behaviour	1	1	0	1	1	0	NA	NA	NA
