trait	TOTAL	SAMEDIR	OPPDIR	PDIFF_TOTAL	PDIFF_SAMEDIR	PDIFF_OPPDIR	FIL_TOTAL	FIL_SAMEDIR	FIL_OPPDIR
Type 2 diabetes	46	46	0	14	14	0	32	32	0
Body Mass Index	30	30	0	8	8	0	22	22	0
Height	24	24	0	3	3	0	21	21	0
Waist-hip ratio (adjBMI)	20	13	7	8	3	5	12	10	2
Waist circumference (adjBMI)	17	10	7	11	4	7	6	6	0
Hip circumference (adjBMI)	14	13	1	3	2	1	11	11	0
Waist-hip ratio	14	7	7	7	1	6	7	6	1
Weight	12	12	0	1	1	0	11	11	0
Schizophrenia	12	11	1	1	1	0	11	10	1
Hip circumference	11	11	0	1	1	0	10	10	0
Educational attainment	10	10	0	10	10	0	NA	NA	NA
Waist-hip ratio (> 50 yrs, adjBMI)	9	6	3	5	2	3	4	4	0
Waist circumference	9	8	1	2	1	1	7	7	0
Cardiovascular disease	8	7	1	6	5	1	2	2	0
Waist-hip ratio (<= 50 yrs, adjBMI)	6	3	3	3	0	3	3	3	0
Fasting glucose	5	0	5	5	0	5	NA	NA	NA
Fasting insulin	5	0	5	5	0	5	NA	NA	NA
Alzheimer's Disease	5	0	5	5	0	5	NA	NA	NA
Carotid intima-media thickness	5	2	3	3	0	3	2	2	0
Glycine level	3	2	1	2	1	1	1	1	0
Thyroid-stimulating hormone	3	3	0	1	1	0	2	2	0
Free thyroxine (FT4)	3	3	0	1	1	0	2	2	0
Grip strength measurement/ Muscle weakness	3	3	0	1	1	0	2	2	0
Multisite chronic pain	3	2	1	1	0	1	2	2	0
Parkinson's disease	3	2	1	1	0	1	2	2	0
Left Caudate	3	0	3	3	0	3	NA	NA	NA
CC Central	3	0	3	3	0	3	NA	NA	NA
Word reading	3	2	1	1	0	1	2	2	0
Tanner scale	2	2	0	2	2	0	NA	NA	NA
Age at first birth	2	2	0	2	2	0	NA	NA	NA
Insomnia	2	1	1	1	0	1	1	1	0
Left MST area	2	0	2	2	0	2	NA	NA	NA
Left Putamen	2	1	1	1	0	1	1	1	0
Right Putamen	2	1	1	1	0	1	1	1	0
Colorectal Cancer	2	0	2	2	0	2	NA	NA	NA
Nonword repetition	2	0	2	2	0	2	NA	NA	NA
Performance IQ	2	2	0	2	2	0	NA	NA	NA
Risk-taking behaviour	2	2	0	2	2	0	NA	NA	NA
Alcohol consumption (dichotomous)	1	0	1	1	0	1	NA	NA	NA
Antisocial behavior	1	0	1	1	0	1	NA	NA	NA
Number of children ever born	1	0	1	1	0	1	NA	NA	NA
Height SDS	1	1	0	1	1	0	NA	NA	NA
Snoring	1	0	1	1	0	1	NA	NA	NA
Left PoI GM thikness	1	0	1	1	0	1	NA	NA	NA
Nonword reading	1	0	1	1	0	1	NA	NA	NA
Major Depression	1	0	1	1	0	1	NA	NA	NA
PTSD	1	1	0	1	1	0	NA	NA	NA
COVID19 Hospitalization (A1HOSP)	1	1	0	1	1	0	NA	NA	NA
