gene	count	crossd
FTO	3	Antropometric;Disease;Metabolic
GDF5	2	Antropometric;Metabolic
BDNF	2	Antropometric;Metabolic
COBLL1	2	Antropometric;Metabolic
VEGFA	2	Antropometric;Metabolic
PSRC1	2	Disease;Metabolic
METAP1	2	Disease;Metabolic
SLC22A3	2	Disease;Metabolic
LPA	2	Disease;Metabolic
PLG	2	Disease;Metabolic
IDE	2	Disease;Metabolic
HHEX	2	Disease;Metabolic
CCND2	2	Disease;Metabolic
PVRL2	2	Disease;Metabolic
TOMM40	2	Disease;Metabolic
APOE	2	Disease;Metabolic
APOC1	2	Disease;Metabolic
PRRC2A	2	Disease;Metabolic
GPSM3	2	Disease;Metabolic
HLA-DQA1	2	Disease;Metabolic
HIST1H2AB	2	Disease;Metabolic
HIST1H2BB	2	Disease;Metabolic
HIST1H3C	2	Disease;Metabolic
ZKSCAN3	2	Disease;Metabolic
GPX6	2	Disease;Metabolic
RNF39	2	Disease;Metabolic
TRIM31	2	Disease;Metabolic
TRIM40	2	Disease;Metabolic
TRIM10	2	Disease;Metabolic
TRIM15	2	Disease;Metabolic
C2	2	Disease;Metabolic
TNXB	2	Disease;Metabolic
C6orf10	2	Disease;Metabolic
BTNL2	2	Disease;Metabolic
LOC101929163	2	Disease;Metabolic
ZSCAN31	2	Disease;Metabolic
TRIM26	2	Disease;Metabolic
DDR1	2	Disease;Metabolic
GTF2H4	2	Disease;Metabolic
VARS2	2	Disease;Metabolic
SFTA2	2	Disease;Metabolic
C6orf15	2	Disease;Metabolic
LTA	2	Disease;Metabolic
TNF	2	Disease;Metabolic
LTB	2	Disease;Metabolic
BAG6	2	Disease;Metabolic
APOM	2	Disease;Metabolic
C6orf47	2	Disease;Metabolic
GPANK1	2	Disease;Metabolic
CSNK2B	2	Disease;Metabolic
LY6G5B	2	Disease;Metabolic
ABHD16A	2	Disease;Metabolic
LY6G6F	2	Disease;Metabolic
CLIC1	2	Disease;Metabolic
MSH5	2	Disease;Metabolic
SAPCD1	2	Disease;Metabolic
VWA7	2	Disease;Metabolic
VARS	2	Disease;Metabolic
LSM2	2	Disease;Metabolic
HSPA1L	2	Disease;Metabolic
HSPA1A	2	Disease;Metabolic
HSPA1B	2	Disease;Metabolic
C6orf48	2	Disease;Metabolic
NEU1	2	Disease;Metabolic
SLC44A4	2	Disease;Metabolic
EHMT2	2	Disease;Metabolic
ZBTB12	2	Disease;Metabolic
CFB	2	Disease;Metabolic
NELFE	2	Disease;Metabolic
SKIV2L	2	Disease;Metabolic
DXO	2	Disease;Metabolic
STK19	2	Disease;Metabolic
ATF6B	2	Disease;Metabolic
FKBPL	2	Disease;Metabolic
AGER	2	Disease;Metabolic
PBX2	2	Disease;Metabolic
NOTCH4	2	Disease;Metabolic
ZNRD1	2	Disease;Metabolic
PPP1R11	2	Disease;Metabolic
TRIM39	2	Disease;Metabolic
TRIM39-RPP21	2	Disease;Metabolic
RPP21	2	Disease;Metabolic
GNL1	2	Disease;Metabolic
MRPS18B	2	Disease;Metabolic
ATAT1	2	Disease;Metabolic
C6orf136	2	Disease;Metabolic
DHX16	2	Disease;Metabolic
PPP1R18	2	Disease;Metabolic
NRM	2	Disease;Metabolic
FLOT1	2	Disease;Metabolic
IER3	2	Disease;Metabolic
