geneset	count	crossd
GOCC_MKS_COMPLEX	3	Anatomical;Disease;Metabolic
GOBP_SKELETAL_MUSCLE_ACETYLCHOLINE_GATED_CHANNEL_CLUSTERING	2	Anatomical;Disease
GOBP_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	2	Metabolic;Trait
GOMF_UBIQUINONE_BINDING	2	Disease;Trait
GOMF_UBIQUITIN_LIKE_PROTEIN_LIGASE_ACTIVITY	2	Anatomical;Disease
GOMF_GAP_JUNCTION_CHANNEL_ACTIVITY_INVOLVED_IN_CARDIAC_CONDUCTION_ELECTRICAL_COUPLING	2	Anatomical;Disease
GOCC_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN	2	Antropometric;Fertility
GOCC_VACUOLAR_PROTON_TRANSPORTING_V_TYPE_ATPASE_V0_DOMAIN	2	Antropometric;Fertility
GOCC_PHOSPHORYLASE_KINASE_COMPLEX	2	Antropometric;Disease
GOCC_CYTOPLASMIC_SIDE_OF_ENDOSOME_MEMBRANE	2	Condition;Disease
GOCC_RSC_TYPE_COMPLEX	2	Anatomical;Trait
GOCC_COMMITMENT_COMPLEX	2	Behavioural;Disease
GOCC_PICLN_SM_PROTEIN_COMPLEX	2	Behavioural;Disease
GOCC_ANAPHASE_PROMOTING_COMPLEX	2	Anatomical;Disease
GOCC_NUCLEAR_UBIQUITIN_LIGASE_COMPLEX	2	Anatomical;Disease
GOCC_CRD_MEDIATED_MRNA_STABILITY_COMPLEX	2	Anatomical;Metabolic
GOCC_NUCLEAR_STRESS_GRANULE	2	Anatomical;Metabolic
HP_ABSENT_SPERM_AXONEME_CENTRAL_PAIR_COMPLEX	2	Disease;Lifestyle
HP_BIRTH_LENGTH_LESS_THAN_3RD_PERCENTILE	2	Antropometric;Behavioural
HP_OSTEOARTHRITIS_OF_THE_SMALL_JOINTS_OF_THE_HAND	2	Antropometric;Condition
HP_ALLERGIC_RHINITIS	2	Disease;Metabolic
HP_NASOGASTRIC_TUBE_FEEDING	2	Behavioural;Disease
HP_OXYCEPHALY	2	Anatomical;Disease
HP_NARROW_NARIS	2	Anatomical;Condition
HP_ECTROPION_OF_LOWER_EYELIDS	2	Condition;Disease
REACTOME_FRUCTOSE_CATABOLISM	2	Disease;Lifestyle
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX_IN_CANCER	2	Antropometric;Behavioural
REACTOME_LOSS_OF_FUNCTION_OF_SMAD2_3_IN_CANCER	2	Antropometric;Behavioural
